oloop,timeout_us,work_type,fire_iter_type,fire_iter,dvfs,joules,time,instructions,ref_cycles,llc_miss,sleep_cnt_0,sleep_cnt_1
1,2,sum1,time_limit_sec,3,0x1d00,93.4016,3,580196934,8202633296,79840902,5980,873601
1,2,sum1,time_limit_sec,3,0x1d00,93.3912,3,578317992,8194255863,79638394,5984,870784
1,2,sum1,time_limit_sec,3,0x1d00,93.3127,3,578911299,8196498172,79668064,5987,871688
1,4,sum1,time_limit_sec,3,0x1d00,91.3169,3,425419526,6615474490,58439033,5988,638809
1,4,sum1,time_limit_sec,3,0x1d00,91.2288,3,425696363,6615644111,58480929,5987,639268
1,4,sum1,time_limit_sec,3,0x1d00,91.1344,3,426011565,6615915986,58525698,5986,639757
1,8,sum1,time_limit_sec,3,0x1d00,82.6179,3,194583652,4740505822,26615661,5971,290816
1,8,sum1,time_limit_sec,3,0x1d00,82.5606,3.00001,194607619,4747126203,26621194,5970,290882
1,8,sum1,time_limit_sec,3,0x1d00,82.5286,3.00001,194619493,4746866914,26622475,5972,290895
1,16,sum1,time_limit_sec,3,0x1d00,59.0186,3.00001,113022807,3589244305,15578511,5996,170216
1,16,sum1,time_limit_sec,3,0x1d00,58.7745,3.00001,113014175,3590607450,15577309,5997,170203
1,16,sum1,time_limit_sec,3,0x1d00,58.5627,3.00002,113007535,3591676825,15576417,5997,170193
1,32,sum1,time_limit_sec,3,0x1d00,53.3004,3.00003,59437385,1917454277,8193108,5997,89501
1,32,sum1,time_limit_sec,3,0x1d00,53.2736,3.00002,59439719,1917388273,8193593,5997,89505
1,32,sum1,time_limit_sec,3,0x1d00,53.2727,3.00003,59438009,1917322588,8192897,5997,89500
1,64,sum1,time_limit_sec,3,0x1d00,52.7132,3.00003,30806971,481944533,5869,5997,46396
1,64,sum1,time_limit_sec,3,0x1d00,52.7219,3.00007,30808279,481854662,5880,5999,46397
1,64,sum1,time_limit_sec,3,0x1d00,52.7561,3,30806810,481834159,5859,5999,46396
1,128,sum1,time_limit_sec,3,0x1d00,52.7101,3,15560223,243734183,5628,5999,23435
1,128,sum1,time_limit_sec,3,0x1d00,52.6928,3.00009,15560887,243629754,5635,5999,23436
1,128,sum1,time_limit_sec,3,0x1d00,52.6857,3.00013,15560887,243742941,5638,5999,23436
1,256,sum1,time_limit_sec,3,0x1d00,52.6316,3.00018,9675711,156749263,5603,5999,11732
1,256,sum1,time_limit_sec,3,0x1d00,52.6174,3.0002,10050842,162616195,5616,5999,11724
1,256,sum1,time_limit_sec,3,0x1d00,52.6375,3.0002,9675711,156813092,5600,5999,11732
