ins,dvfs,ans,joules,time,instructions,ref_cycles,llc_miss
work10MB,0x1d00,6,175.276,5.465,10485808380,15847711519,1
work10MB,0x1d00,6,175.497,5.465,10485808380,15847569680,1
work10MB,0x1d00,6,175.575,5.465,10485808380,15847565997,0
work10MB,0x1b00,6,176.776,5.869,10485808380,17021296047,1
work10MB,0x1b00,6,176.913,5.870,10485808380,17021615656,0
work10MB,0x1b00,6,176.799,5.870,10485808380,17021619484,0
work10MB,0x1900,6,178.082,6.339,10485808380,18383187899,1
work10MB,0x1900,6,178.169,6.339,10485808380,18383349400,0
work10MB,0x1900,6,178.175,6.339,10485808380,18383171427,1
work10MB,0x1700,6,181.593,6.890,10485808380,19981578463,1
work10MB,0x1700,6,181.587,6.890,10485808380,19981907990,1
work10MB,0x1700,6,181.532,6.890,10485808380,19981722535,2
work10MB,0x1500,6,185.634,7.546,10485808380,21884766451,1
work10MB,0x1500,6,185.639,7.546,10485808380,21884735914,2
work10MB,0x1500,6,185.642,7.546,10485808380,21884723473,1
work10MB,0x1300,6,192.362,8.341,10485808380,24188236538,1
work10MB,0x1300,6,192.364,8.341,10485808380,24188355119,2
work10MB,0x1100,6,202.029,9.322,10485808380,27034358714,1
work10MB,0x1100,6,202.011,9.322,10485808380,27034113461,1
work10MB,0x1100,6,201.900,9.322,10485808380,27034102789,2
work10MB,0xf00,6,215.470,10.565,10485808380,30638683773,1
work10MB,0xf00,6,215.566,10.565,10485808380,30638640998,1
work10MB,0xf00,6,215.650,10.565,10485808380,30638955097,1
work40MB,0x1d00,6,163.961,4.969,6291463812,14409306560,12294603
work40MB,0x1d00,6,164.094,4.969,6291463812,14409928059,12294636
work40MB,0x1d00,6,164.201,4.969,6291463812,14410766449,12294592
work40MB,0x1b00,6,157.824,5.104,6291463812,14801851691,12294526
work40MB,0x1b00,6,157.993,5.104,6291463812,14802977790,12294522
work40MB,0x1b00,6,158.117,5.105,6291463812,14804788666,12294573
work40MB,0x1900,6,152.668,5.292,6291463812,15348158911,12294212
work40MB,0x1900,6,152.754,5.292,6291463812,15345858863,12294206
work40MB,0x1900,6,152.808,5.292,6291463812,15347603329,12294296
work40MB,0x1700,6,149.982,5.544,6291463812,16076728521,12293735
work40MB,0x1700,6,150.036,5.543,6291463812,16075390490,12293762
work40MB,0x1700,6,150.004,5.543,6291463812,16075358068,12293818
work40MB,0x1500,6,147.878,5.851,6291463812,16966898369,12293711
work40MB,0x1500,6,147.793,5.849,6291463812,16961488448,12293753
work40MB,0x1500,6,147.838,5.850,6291463812,16966370511,12293745
work40MB,0x1300,6,147.596,6.230,6291463812,18065933322,12293640
work40MB,0x1300,6,147.403,6.230,6291463812,18065580943,12293637
work40MB,0x1300,6,147.504,6.230,6291463812,18066036562,12293637
work40MB,0x1100,6,147.990,6.664,6291463812,19324463461,12293655
work40MB,0x1100,6,148.017,6.663,6291463812,19322861646,12293658
work40MB,0x1100,6,147.951,6.664,6291463812,19325012460,12293658
work40MB,0xf00,6,151.405,7.248,6291463812,21018510032,12293613
work40MB,0xf00,6,151.425,7.247,6291463812,21015408772,12293604
work40MB,0xf00,6,151.403,7.247,6291463812,21016714497,12293611
mem1,0x1d00,0,157.298,4.626,6993006058,13416566612,10250898
mem1_40MB,0x1d00,0,157.355,4.626,6993006058,13415616050,10250986
mem1_40MB,0x1d00,0,157.410,4.626,6993006058,13416119490,10250952
mem1_40MB,0x1b00,0,153.537,4.818,6993006058,13970941864,10250970
mem1_40MB,0x1b00,0,153.597,4.817,6993006058,13968512824,10250902
