ins,i,dvfs,rapl,ans,joules,time,instructions,ref_cycles,llc_miss
ins1,0,0xf00,135,3.14159,165.602,8.177,23556903110,23713438011,84063
ins1,1,0xf00,135,3.14159,163.687,8.077,23556582931,23421604834,82847
ins1,2,0xf00,135,3.14159,163.732,8.084,23556598023,23443298139,82938
ins1,3,0xf00,135,3.14159,165.687,8.185,23556890991,23735032890,80565
ins1,4,0xf00,135,3.14159,163.883,8.088,23556607995,23453960192,82786
ins1,0,0x1100,135,3.14159,153.629,7.138,23554153017,20697314964,73298
ins1,1,0x1100,135,3.14159,155.537,7.224,23554351698,20948896315,73936
ins1,2,0x1100,135,3.14159,154.285,7.161,23554202372,20764307429,73466
ins1,3,0x1100,135,3.14159,153.566,7.131,23554121137,20678846546,73131
ins1,4,0x1100,135,3.14159,153.503,7.131,23554109534,20677583045,73065
ins1,0,0x1300,135,3.14159,145.993,6.386,23552163856,18517653591,63164
ins1,1,0x1300,135,3.14159,147.652,6.461,23552363131,18734768210,66366
ins1,2,0x1300,135,3.14159,146.352,6.401,23552201997,18560624950,65895
ins1,3,0x1300,135,3.14159,155.161,6.791,23553306067,19692409168,70005
ins1,4,0x1300,135,3.14159,145.684,6.37,23552146346,18472279698,65730
ins1,0,0x1500,135,3.14159,141.141,5.777,23550647257,16753392278,59538
ins1,1,0x1500,135,3.14159,143.352,5.867,23550827029,17011738053,60397
ins1,2,0x1500,135,3.14159,142.627,5.84,23550744291,16935428352,59907
ins1,3,0x1500,135,3.14159,142.624,5.841,23550746341,16937607035,59873
ins1,4,0x1500,135,3.14159,142.633,5.842,23550748028,16939719511,60057
ins1,0,0x1700,135,3.14159,137.373,5.275,23549263761,15295965378,54490
ins1,1,0x1700,135,3.14159,137.412,5.268,23549251960,15276657178,54504
ins1,2,0x1700,135,3.14159,137.494,5.274,23549261398,15294730268,54462
ins1,3,0x1700,135,3.14159,137.242,5.271,23549262882,15286299736,54511
ins1,4,0x1700,135,3.14159,137.076,5.267,23549243419,15272517109,54351
ins1,0,0x1900,135,3.14159,135.401,4.856,23548222534,14081819623,50452
ins1,1,0x1900,135,3.14159,135.058,4.847,23548169217,14055144350,50224
ins1,2,0x1900,135,3.14159,135.113,4.848,23548172813,14059155572,50071
ins1,3,0x1900,135,3.14159,136.746,4.91,23548327795,14238844357,50492
ins1,4,0x1900,135,3.14159,135.068,4.846,23548148926,14053673354,49919
ins1,0,0x1b00,135,3.14159,134.039,4.489,23547209805,13016378792,46380
ins1,1,0x1b00,135,3.14159,136.204,4.56,23547414365,13223931299,47178
ins1,2,0x1b00,135,3.14159,133.804,4.482,23547198146,12998581637,46430
ins1,3,0x1b00,135,3.14159,134.446,4.501,23547249960,13053635817,46563
ins1,4,0x1b00,135,3.14159,134.184,4.495,23547233900,13034849965,46614
ins1,0,0x1d00,135,3.14159,132.649,4.176,23546443090,12111154493,43342
ins1,1,0x1d00,135,3.14159,132.796,4.181,23546441520,12124170215,43068
ins1,2,0x1d00,135,3.14159,134.911,4.241,23546589102,12298062828,43668
ins1,3,0x1d00,135,3.14159,132.89,4.178,23546441182,12115200080,42967
ins1,4,0x1d00,135,3.14159,132.9,4.176,23546422253,12111669910,42972
ins2,0,0xf00,135,2000000000,196.14,9.699,12025401830,28124685924,99327
ins2,1,0xf00,135,2000000000,196.434,9.716,12025465711,28173548604,99553
