sys i itr dvfs rapl read_5th read_10th read_50th read_90th read_95th read_99th measure_QPS target_QPS time joules rx_desc rx_bytes tx_desc tx_bytes instructions cycles ref_cycles llc_miss c1 c1e c3 c6 c7 num_interrupts
ebbrt_poll 0 666 0xd00 135 34.2 34.6 38.2 43.2 45.1 52.4 200025.6 200000 20 1296.02 0 0 0 0 568201933613 403574082758 900280647047 150697253 0 0 0 0 0 319865
ebbrt_poll 0 666 0xf00 135 33.7 34.3 36.7 41.1 43.9 49.6 200256.9 200000 20 1457.55 0 0 0 0 656950920956 465646471907 900249845306 162309787 0 0 0 0 0 319891
ebbrt_poll 0 666 0x1100 135 32.4 33.9 36.3 40.7 42.8 48.9 200179.3 200000 20 1641.08 0 0 0 0 749202659737 527799808320 900364378921 163195357 0 0 0 0 0 319913
ebbrt_poll 0 666 0x1300 135 31.9 33.0 35.9 40.0 41.0 46.7 200136.0 200000 20 1845.32 0 0 0 0 841401281815 589653812297 899997923379 158994739 0 0 0 0 0 319928
ebbrt_poll 0 666 0x1500 135 31.6 32.3 35.6 39.4 40.8 45.4 199350.2 200000 20 2066.71 0 0 0 0 936948290165 651666323558 899920162721 152929186 0 0 0 0 0 319937
ebbrt_poll 0 666 0x1700 135 31.9 32.9 35.8 39.7 40.9 45.6 200107.7 200000 20 2320.18 0 0 0 0 1032312200081 713255715030 899322423479 136434077 0 0 0 0 0 319952
ebbrt_poll 0 666 0x1900 135 31.5 32.2 35.5 39.1 40.5 44.8 199953.5 200000 20 2596.74 0 0 0 0 1118664540178 775855022394 899991824389 158148034 0 0 0 0 0 319952
ebbrt_poll 0 666 0x1b00 135 31.4 32.0 35.3 38.6 40.3 44.5 199952.0 200000 20 2897.77 0 0 0 0 1209955459057 838546209955 900660743986 163627468 0 0 0 0 0 319953
ebbrt_poll 0 666 0x1d00 135 31.3 31.7 34.8 37.8 40.0 44.3 200084.7 200000 20 3239.33 0 0 0 0 1303344075475 901136065632 901136066224 159650025 0 0 0 0 0 319957
ebbrt_poll 0 666 0xd00 135 34.5 35.2 39.4 46.5 50.3 59.2 400121.1 400000 20 1299.53 0 0 0 0 539915499877 404079963191 901409149393 253240350 0 0 0 0 0 319623
ebbrt_poll 0 666 0xf00 135 34.0 34.4 37.4 43.7 46.2 53.5 400175.2 400000 20 1458.56 0 0 0 0 623811091888 465701502095 900356236910 281075738 0 0 0 0 0 319766
ebbrt_poll 0 666 0x1100 135 34.3 34.6 37.9 43.4 45.2 53.0 399863.8 400000 20 1642.29 0 0 0 0 712700440381 527800694403 900365891648 282053949 0 0 0 0 0 319807
ebbrt_poll 0 666 0x1300 135 32.6 34.1 36.5 40.9 43.7 49.7 400044.2 400000 20 1849.68 0 0 0 0 803190855540 589869232800 900326723581 280725624 0 0 0 0 0 319843
ebbrt_poll 0 666 0x1500 135 31.7 32.5 35.8 40.2 41.5 47.4 400053.9 400000 20 2071.12 0 0 0 0 898739275907 652584452164 901188051769 276493374 0 0 0 0 0 319875
ebbrt_poll 0 666 0x1700 135 31.5 32.1 35.5 39.7 40.9 46.4 399833.9 400000 20 2303.92 0 0 0 0 990663650569 714608810588 901028498554 273009723 0 0 0 0 0 319895
ebbrt_poll 0 666 0x1900 135 31.4 32.0 35.3 39.3 40.7 45.2 400145.1 400000 20 2600.89 0 0 0 0 1077399561286 776472126504 900707668161 278555618 0 0 0 0 0 319900
ebbrt_poll 0 666 0x1b00 135 31.6 32.2 35.5 39.3 40.7 45.1 399828.0 400000 20 2900.71 0 0 0 0 1168337455999 838361977738 900462865850 278086627 0 0 0 0 0 319912
ebbrt_poll 0 666 0x1d00 135 31.7 32.4 35.7 39.6 40.8 45.2 399996.1 400000 20 3240.91 0 0 0 0 1259934337868 900938288643 900938288370 278678422 0 0 0 0 0 319923
ebbrt_poll 0 666 0xd00 135 34.7 35.5 40.1 49.2 53.2 61.5 599912.4 600000 20 1295.59 0 0 0 0 498430049934 403775562345 900730101720 412672314 0 0 0 0 0 319452
ebbrt_poll 0 666 0xf00 135 34.4 34.9 39.1 46.6 50.1 57.8 600222.0 600000 20 1464.85 0 0 0 0 586075950576 466453223304 901809567473 409282310 0 0 0 0 0 319583
ebbrt_poll 0 666 0x1100 135 33.8 34.4 37.6 44.3 47.6 54.3 599563.1 600000 20 1645.26 0 0 0 0 672411310239 527860973274 900468717644 422174302 0 0 0 0 0 319671
ebbrt_poll 0 666 0x1300 135 32.6 34.1 36.8 42.7 45.1 52.8 599905.7 600000 20 1853.46 0 0 0 0 764557340233 590242032253 900895729333 403620449 0 0 0 0 0 319740
ebbrt_poll 0 666 0x1500 135 32.7 34.1 36.6 41.4 44.2 51.0 599982.2 600000 20 2075.95 0 0 0 0 857033684891 652236724735 900707860315 402890720 0 0 0 0 0 319795
ebbrt_poll 0 666 0x1700 135 31.6 32.4 35.8 40.4 42.3 48.6 599651.1 600000 20 2328.65 0 0 0 0 945366070340 714640425270 901068362534 410994372 0 0 0 0 0 319822
ebbrt_poll 0 666 0x1900 135 31.6 32.3 35.8 40.2 41.7 48.1 600023.3 600000 20 2599.2 0 0 0 0 1031219954393 776188480213 900378637409 410945782 0 0 0 0 0 319841
ebbrt_poll 0 666 0x1b00 135 31.5 32.2 35.6 39.9 41.1 47.2 599989.7 600000 20 2902.96 0 0 0 0 1121892933603 838235824439 900327366366 410336453 0 0 0 0 0 319861
ebbrt_poll 0 666 0x1d00 135 31.5 32.1 35.5 39.7 41.0 46.0 599912.6 600000 20 3242.68 0 0 0 0 1210923645123 900804017016 900804016949 411832515 0 0 0 0 0 319874
ebbrt_poll 0 666 0xf00 135 34.7 35.7 40.6 50.3 54.1 62.4 999946.9 1000000 20 1487.28 21028306 3358486861 55481380 5078665424 528423499661 465847797885 900639075969 716786705 0 0 0 0 0 319612
ebbrt_poll 0 666 0x1100 135 34.0 34.5 38.8 46.6 49.8 57.1 999855.7 1000000 20 1667.99 21000006 3354609506 55470432 5068204765 613736711067 527537040658 899916127400 745772309 0 0 0 0 0 319677
ebbrt_poll 0 666 0x1300 135 34.6 35.4 39.7 47.1 50.2 57.2 1000713.6 1000000 20 1881.29 21001815 3359188260 55517699 5077145449 687562045284 589973338297 900485622005 772120068 0 0 0 0 0 319725
ebbrt_poll 0 666 0x1500 135 32.7 34.1 37.3 43.7 46.3 53.4 999812.2 1000000 20 2110.18 20966361 3352680140 55465551 5064757323 797114251057 652278128589 900765035961 757732786 0 0 0 0 0 319777
ebbrt_poll 0 666 0x1700 135 32.3 33.8 36.7 42.1 44.6 51.1 999742.4 1000000 20 2364.34 20957817 3352789482 55463603 5067313912 887264916876 714469842226 900853280815 760439103 0 0 0 0 0 319805
ebbrt_poll 0 666 0x1900 135 31.8 32.8 36.3 41.0 43.8 49.7 999979.3 1000000 20 2637.04 20950601 3351543489 55475441 5066871176 974092301126 776995599041 901314895942 765838490 0 0 0 0 0 319826
ebbrt_poll 0 666 0x1b00 135 32.0 33.2 36.4 41.0 43.7 49.5 999417.0 1000000 20 2948.08 20937745 3352509362 55445065 5070164082 1061693870439 838456583508 900564478573 765908798 0 0 0 0 0 319841
ebbrt_poll 0 666 0x1d00 135 31.6 32.3 35.8 40.4 42.3 48.6 999502.2 1000000 20 3258.35 20933999 3351813236 55451679 5070084319 1152007221993 901311114240 901311117010 778515016 0 0 0 0 0 319854
ebbrt_poll 0 666 0xf00 135 36.0 37.8 48.5 76.5 91.8 138.2 1500343.2 1500000 20 1483.45 0 0 0 0 415674308334 468092592985 904979011461 1038540097 0 0 0 0 0 316387
ebbrt_poll 0 666 0x1100 135 35.1 36.5 44.4 63.5 73.4 101.3 1500150.5 1500000 20 1658.69 0 0 0 0 498781683534 529811442360 903795988970 1009340307 0 0 0 0 0 317818
ebbrt_poll 0 666 0x1300 135 34.4 35.2 41.4 57.1 64.1 85.1 1499454.8 1500000 20 1865.59 0 0 0 0 572202491940 591684639810 903097607461 1027819345 0 0 0 0 0 318379
ebbrt_poll 0 666 0x1500 135 34.4 35.1 40.3 52.7 58.0 72.7 1499140.8 1500000 20 2076.21 0 0 0 0 661531591824 651583491796 899805773062 1030031998 0 0 0 0 0 318902
ebbrt_poll 0 666 0x1700 135 34.1 34.6 39.4 50.1 54.6 66.8 1499530.5 1500000 20 2336.03 0 0 0 0 740239116941 714918825957 901419388568 1007665846 0 0 0 0 0 319102
ebbrt_poll 0 666 0x1900 135 34.1 34.6 39.0 48.8 53.4 64.5 1499915.4 1500000 20 2604.16 0 0 0 0 812679113027 775001240741 899001441561 1020138961 0 0 0 0 0 319232
