sys i itr dvfs rapl read_5th read_10th read_50th read_90th read_95th read_99th measure_QPS target_QPS time joules rx_desc rx_bytes tx_desc tx_bytes instructions cycles ref_cycles llc_miss c1 c1e c3 c6 c7 num_interrupts
ebbrt_tuned 5 50 0xf00 95 55.9 59.3 92.9 206.5 266.4 336.3 50051.1 50000 20 986.24 1426446 135832800 1855804 72376308 70293247704 84688618820 169664993580 154244778 0 0 0 0 368757 2074686
ebbrt_tuned 6 50 0xf00 95 56.2 59.6 92.8 204.2 264.4 333.2 50022.7 50000 20 1066.4 1536776 146362994 2000709 78025548 76225243423 92126023640 184416979278 167863895 0 0 0 0 399677 2240761
ebbrt_tuned 7 50 0xf00 95 56.2 59.7 93.4 206.1 268.4 334.5 50031.6 50000 20 1066.16 1532864 146167465 2001154 78043612 75918644563 91832970461 183822776093 165936874 0 0 0 0 396626 2233534
ebbrt_tuned 4 50 0xf00 55 56.1 59.4 91.7 200.3 255.7 323.6 49993.5 50000 20 1056.78 1541845 146664306 1999599 77982674 75127851918 89489482184 179609451063 156844398 0 0 0 0 397654 2235863
ebbrt_tuned 5 50 0xf00 55 56.3 59.7 92.5 200.0 259.8 328.2 49875.1 50000 20 1020.7 1445480 137570425 1878934 73277858 70888902140 84916765325 170290707817 150679195 0 0 0 0 376382 2107784
ebbrt_tuned 6 50 0xf00 55 56.1 59.5 92.3 202.3 260.8 329.2 50059.7 50000 20 1064.13 1543321 146793733 2002231 78085702 75753862045 90646631175 181715308654 162794821 0 0 0 0 396837 2238187
ebbrt_tuned 7 50 0xf00 55 55.9 59.2 91.7 202.1 263.1 332.0 50076.9 50000 20 988.84 1426835 135895671 1858006 72461804 70209933095 84195264651 168712730788 149621084 0 0 0 0 369770 2077400
ebbrt_tuned 4 50 0x1300 95 53.6 58.3 92.8 207.2 248.2 333.1 100140.1 100000 20 1354.36 2263558 244264589 4004795 156177640 151116473475 169254808941 266570855978 332699139 0 0 0 0 346619 3326236
ebbrt_tuned 5 50 0x1300 95 52.8 57.4 92.1 205.6 247.5 327.1 100120.1 100000 20 1355.16 2258977 243958346 4004038 156147854 151328974139 170186337662 268058841831 338067893 0 0 0 0 346638 3325574
ebbrt_tuned 6 50 0x1300 95 52.8 57.4 91.8 203.5 245.7 324.8 100045.7 100000 20 1305.99 2229435 240457898 3941551 153709754 149039407366 167555043309 263825354261 331408377 0 0 0 0 344221 3282060
ebbrt_tuned 7 50 0x1300 95 52.5 56.8 91.7 206.8 247.5 326.7 99967.9 100000 20 1353.22 2262009 243990359 3997986 155910834 151233522463 169298860879 266606984207 333435659 0 0 0 0 348884 3329896
ebbrt_tuned 4 200 0x1300 75 71.0 85.8 181.6 295.6 344.1 437.7 99985.7 100000 20 1343.57 2208966 240793215 3998739 155942078 150491050563 163002972465 257969837879 327004072 0 0 0 0 466055 1429102
ebbrt_tuned 5 200 0x1300 75 72.3 86.5 183.5 297.0 347.7 436.8 100088.4 100000 20 1342.71 2212427 241123856 4002867 156102476 150195982498 162660359545 257713395577 327739321 0 0 0 0 474064 1429998
ebbrt_tuned 6 200 0x1300 75 72.8 88.4 184.8 299.7 351.6 444.8 100013.3 100000 20 1344.26 2208534 240768144 3999745 155981762 149957006389 163018877784 258113817398 326086348 0 0 0 0 466625 1429723
ebbrt_tuned 7 200 0x1300 75 72.3 86.7 184.9 298.7 349.9 440.5 99901.1 100000 20 1344.79 2207879 240674234 3995116 155796618 149932085114 163305054896 258668266310 329556700 0 0 0 0 470813 1429893
ebbrt_tuned 4 100 0x1400 135 62.8 74.0 135.1 269.3 321.5 442.4 199899.0 200000 20 1599.99 4276849 473122588 7992401 311650734 297416094467 298274331174 434205352324 641850414 0 0 0 0 351954 2753481
ebbrt_tuned 5 100 0x1400 135 62.9 74.0 134.8 268.4 318.0 435.6 199857.7 200000 20 1600.12 4275555 472965296 7990612 311583138 297251475665 297988235716 433804131669 644860072 0 0 0 0 354761 2752314
ebbrt_tuned 6 100 0x1400 135 63.3 74.9 137.2 275.1 325.5 445.3 200117.4 200000 20 1601.69 4282399 473640997 8000934 311981376 298329221670 300266894543 437026370215 651069250 0 0 0 0 355854 2751714
ebbrt_tuned 7 100 0x1400 135 62.8 74.3 136.0 270.6 321.4 440.6 200144.6 200000 20 1599.98 4282985 473688073 8001918 312022190 298432992084 299299017906 435599299123 648626887 0 0 0 0 354750 2752499
ebbrt_tuned 4 50 0x1500 55 51.8 55.9 85.4 166.0 212.9 271.1 50006.7 50000 20 1320.17 1568980 148276620 2000129 78003126 76188852492 99963693747 156899056468 173194778 0 0 0 0 402891 2253893
ebbrt_tuned 5 50 0x1500 55 51.5 55.7 84.7 164.5 211.4 271.4 49976.7 50000 20 1322.25 1566420 148117693 1998865 77954064 76070122880 100022169495 157078661501 173306519 0 0 0 0 403873 2257759
ebbrt_tuned 6 50 0x1500 55 53.3 57.8 87.3 171.1 218.0 275.3 49981.0 50000 20 1323.06 1568745 148238840 1999066 77961332 76241944719 99615652385 156415730694 171408074 0 0 0 0 404572 2259935
ebbrt_tuned 4 50 0x1500 75 51.1 55.2 87.2 187.6 227.6 297.5 99897.2 100000 20 1466.83 2265646 244102477 3995189 155802336 151062167346 172621606015 250610185660 334747517 0 0 0 0 356020 3336925
ebbrt_tuned 6 50 0x1500 75 51.3 55.4 87.7 186.6 227.2 293.9 99950.6 100000 20 1464.63 2269447 244408784 3997192 155881054 150884429468 171531929198 248982354122 331676976 0 0 0 0 355982 3341130
ebbrt_tuned 7 50 0x1500 75 51.7 55.8 87.9 187.9 228.5 296.1 100114.3 100000 20 1468.46 2270368 244616289 4003758 156135200 151491750905 172350803200 250076924902 333790207 0 0 0 0 355399 3340006
ebbrt_tuned 4 50 0x1500 55 51.1 55.3 87.5 187.8 227.3 298.9 99974.4 100000 20 1465.82 2274552 244708676 3998184 155917776 150687447111 171500505368 249181850081 331575248 0 0 0 0 355867 3340480
ebbrt_tuned 5 50 0x1500 55 51.4 55.6 87.5 185.7 226.6 294.5 99894.1 100000 20 1467.25 2268433 244228770 3995041 155797536 150866625249 172300449317 250088049940 333150958 0 0 0 0 358138 3344801
ebbrt_tuned 6 50 0x1500 55 51.1 55.3 87.0 185.6 226.3 298.6 99839.2 100000 20 1467.01 2274093 244553499 3992927 155714756 150895521366 171989172663 249886651900 334422821 0 0 0 0 356371 3338907
ebbrt_tuned 7 50 0x1500 55 51.7 56.0 88.6 188.9 227.6 298.1 99994.6 100000 20 1466.95 2269636 244465279 3999057 155954648 151134822978 172854876439 250759276661 333017079 0 0 0 0 357390 3346516
ebbrt_tuned 4 50 0x1500 55 54.0 60.9 102.3 232.4 275.8 389.1 200005.5 200000 20 1682.68 4245231 471303912 7996676 311818622 300250619591 311647311763 432077128802 666069785 0 0 0 0 296056 4600816
ebbrt_tuned 5 50 0x1500 55 54.4 61.2 103.6 234.5 281.4 394.3 200112.1 200000 20 1681.7 4244550 471347688 8000399 311960898 300692675499 310940719068 431062195444 660789074 0 0 0 0 292974 4591915
ebbrt_tuned 6 50 0x1500 55 53.3 60.0 101.1 230.4 273.3 389.5 200033.8 200000 20 1678.13 4243860 471242390 7997837 311863518 301185281432 312316705852 432956150760 667762553 0 0 0 0 291643 4589207
ebbrt_tuned 7 50 0x1500 55 53.7 60.4 102.5 234.4 276.8 393.8 200090.7 200000 20 1681.51 4247517 471538280 8000033 311947662 300812909848 311661836627 432053006196 666453392 0 0 0 0 292339 4592072
ebbrt_tuned 4 100 0x1500 135 62.3 73.1 131.6 247.3 291.5 393.8 199772.0 200000 20 1650.32 4261411 472066654 7987190 311447724 294599012670 289891250597 403497354607 603099598 0 0 0 0 377404 2780692
