sys msg i itr dvfs time pk0j joules ins cyc refcyc llcmiss c7 num_interrupts
ebbrt_tuned 64 0 0 0x1d00 0.085376 1.487804 1.954150 26707062 63963554 138949933 39841 9959 10569
ebbrt_tuned 64 1 0 0x1d00 0.085059 1.487667 1.896299 26566136 62802165 140431050 37079 9957 10433
ebbrt_tuned 64 0 0 0x1b00 0.104441 1.819602 3.069442 26509396 223075671 266417664 879998 9943 9995
ebbrt_tuned 64 1 0 0x1b00 0.104624 1.836572 3.064452 26504361 222090552 267031536 878415 9920 9959
ebbrt_tuned 64 0 0 0x1900 0.124317 2.169331 3.222759 26206240 199831425 306288401 323655 7892 7909
ebbrt_tuned 64 1 0 0x1900 0.124897 2.168522 3.264053 26201819 199708181 307150774 312623 7868 7884
ebbrt_tuned 64 0 0 0x1700 0.107593 1.872951 2.806818 26496037 219310058 283485266 864114 9898 9915
ebbrt_tuned 64 1 0 0x1700 0.104122 1.819938 2.743840 26508824 220181920 279645405 883710 9990 10002
ebbrt_tuned 64 0 0 0x1500 0.112850 1.977605 2.787895 26513753 219955495 304683802 887806 10011 10006
ebbrt_tuned 64 1 0 0x1500 0.112256 1.959842 2.743290 26511859 219309650 303341856 884907 10011 10005
ebbrt_tuned 64 0 0 0x1300 0.122530 2.134050 2.836086 26511781 217698633 332392403 887855 10012 10004
ebbrt_tuned 64 1 0 0x1300 0.123188 2.134187 2.858061 26511747 218293236 333573921 885088 10012 10004
ebbrt_tuned 64 0 0 0x1100 0.137226 2.395256 2.982765 26512005 217449141 371462711 884907 10012 10006
ebbrt_tuned 64 1 0 0x1100 0.137197 2.396492 2.981743 26511421 217305057 371178772 887650 10008 10002
ebbrt_tuned 64 0 0 0xf00 0.178666 3.097139 3.596920 26496386 213855819 443596064 874701 9890 9901
ebbrt_tuned 64 1 0 0xf00 0.179003 3.113239 3.594249 26494284 213469697 443535222 876283 9864 9887
ebbrt_tuned 64 0 0 0xd00 0.185121 3.218472 3.517277 26418026 190476729 441366602 824255 9229 9348
ebbrt_tuned 64 1 0 0xd00 0.185215 3.234952 3.495990 26412634 190362243 441308544 825224 9211 9335
ebbrt_tuned 64 0 0 0xc00 0.188186 3.287889 3.523336 26512022 211684861 511598976 886202 10013 10006
ebbrt_tuned 64 1 0 0xc00 0.185624 3.235349 3.449096 26511781 208826436 504698861 888936 10013 10004
ebbrt_tuned 8192 0 0 0x1d00 0.243337 4.256411 7.355717 141602373 386708020 574580190 1298779 8999 15678
ebbrt_tuned 8192 1 0 0x1d00 0.242476 4.240312 7.329622 141706336 385255075 573570729 1294512 8940 15577
ebbrt_tuned 8192 0 0 0x1b00 0.240147 4.188168 6.797689 141745506 363834520 568496338 1320999 9135 15822
ebbrt_tuned 8192 1 0 0x1b00 0.239303 4.188061 6.788503 141741269 362045585 566590110 1324233 9158 15847
ebbrt_tuned 8192 0 0 0x1900 0.235311 4.100912 6.234717 141877287 341695796 554012317 1237962 8156 13812
ebbrt_tuned 8192 1 0 0x1900 0.235670 4.101491 6.258279 141964360 342165747 554930312 1244551 8230 13921
ebbrt_tuned 8192 0 0 0x1700 0.237027 4.134789 6.057304 141241101 371733851 583855956 1490883 11138 17723
ebbrt_tuned 8192 1 0 0x1700 0.236352 4.134987 6.029684 141387062 371999362 583291094 1500927 11108 17742
ebbrt_tuned 8192 0 0 0x1500 0.225634 3.925635 5.598543 141951202 444266626 615488982 1948217 15834 25196
ebbrt_tuned 8192 1 0 0x1500 0.224845 3.927482 5.569519 142412641 442384263 612902327 1959749 15972 25167
ebbrt_tuned 8192 0 0 0x1300 0.202966 3.543036 4.723870 139876987 367728952 562062021 1825550 14382 24798
ebbrt_tuned 8192 1 0 0x1300 0.202838 3.525777 4.730417 139718078 367305666 561528218 1832255 14442 24860
ebbrt_tuned 8192 0 0 0x1100 0.248900 4.347864 5.430363 138901358 395449113 675278572 1414764 10102 21036
ebbrt_tuned 8192 1 0 0x1100 0.248185 4.329567 5.427860 139005099 394343903 673392644 1415450 10084 21090
ebbrt_tuned 8192 0 0 0xf00 0.235013 4.102331 4.769483 139686232 290869568 599162243 1174715 7478 15328
ebbrt_tuned 8192 1 0 0xf00 0.234698 4.102941 4.764493 139687954 289463694 597179513 1178290 7505 15384
