sys i msg_size itr dvfs rapl time tput joules rx_bytes tx_bytes instructions cycles ref_cycles llc_miss c1 c1e c3 c6 c7 num_interrupts
linux_tuned 0 64 0 0xc00 135 0.177 27.61 3.26 648570 649870 103241613 170787480 412208958 129983 4980 6 2 0 1 14987
linux_tuned 1 64 0 0xc00 135 0.178 27.49 3.29 648050 649870 101335487 168532656 405902502 128791 4891 10 1 0 2 14984
linux_tuned 2 64 0 0xc00 135 0.176 27.76 3.25 650864 649870 101281481 167046486 403134191 127036 4898 0 0 0 0 15014
linux_tuned 0 8192 0 0xc00 135 0.363 1723.41 6.78 43450486 43264448 220323270 356471766 860632101 823788 5780 0 0 0 0 32540
linux_tuned 1 8192 0 0xc00 135 0.362 1728.57 6.75 43441180 43264580 216828718 351001708 846720917 809663 5868 0 0 0 0 32531
linux_tuned 2 8192 0 0xc00 135 0.362 1728.39 6.74 43410664 43264184 221332924 360203102 869745206 839039 5828 4 2 0 0 32483
linux_tuned 0 65536 0 0xc00 135 1.143 4372.57 21.57 343793312 343373946 785761935 1205908487 2913199031 6064142 25013 13 22 0 1093 94034
linux_tuned 1 65536 0 0xc00 135 1.14 4385.56 21.56 343856646 343383608 788416234 1204367552 2908892618 5877043 25703 16 23 0 1022 93898
linux_tuned 2 65536 0 0xc00 135 1.144 4370.07 21.61 343725136 343367774 776834029 1193560029 2882860449 5984904 24303 33 36 0 1165 93919
linux_tuned 0 64 0 0xf00 135 0.161 30.38 3.22 649742 649870 109323654 185710306 358853250 137556 9170 2 0 0 124 14997
linux_tuned 1 64 0 0xf00 135 0.158 30.9 3.16 650606 649870 113447949 189908427 366747833 137134 9625 4 1 0 48 15012
linux_tuned 2 64 0 0xf00 135 0.161 30.39 3.23 648440 649870 109542341 186339630 360223877 133491 9242 8 2 0 57 14986
linux_tuned 0 8192 0 0xf00 135 0.335 1864.61 6.82 43425060 43266428 234267043 391492975 756305210 770104 12163 2 2 0 42 35302
linux_tuned 1 8192 0 0xf00 135 0.335 1867.41 6.81 43462712 43265636 234181577 390990666 755535289 775421 12107 9 0 0 23 35354
linux_tuned 2 8192 0 0xf00 135 0.335 1864.08 6.82 43408090 43265966 233755517 391915017 757287933 770700 12140 3 2 0 7 35225
linux_tuned 0 65536 0 0xf00 135 1.09 4586.48 22.44 343824330 343366514 831886252 1376346194 2670017182 6393308 28296 196 50 0 4092 100536
linux_tuned 1 65536 0 0xf00 135 1.099 4551.21 22.66 343702168 343317416 827180980 1421056161 2763882352 6602552 24299 99 36 0 7006 95816
linux_tuned 2 65536 0 0xf00 135 1.098 4554.97 22.58 343684084 343320448 823041263 1411815123 2747408380 6211780 22956 103 68 0 7564 95039
linux_tuned 0 64 0 0x1100 135 0.153 31.83 3.24 649100 649870 108394901 187254916 319200564 132563 9252 16 3 0 71 14996
linux_tuned 1 64 0 0x1100 135 0.153 31.99 3.27 648050 649870 105590909 181640742 309423040 127266 9104 10 2 0 49 14982
linux_tuned 2 64 0 0x1100 135 0.152 32.22 3.21 649742 650002 110199493 188030061 320464094 133285 9495 0 0 0 64 14998
