sys i msg_size itr dvfs rapl time tput pk1j rx_bytes tx_bytes instructions cycles ref_cycles llc_miss c1 c1e c3 c6 c7 num_interrupts
linux_tuned 0 64 2 0xc00 135 0.177 27.66 3.24 648440 650068 103133938 170981877 413199453 131272 51246183 5351952 67596 0 10768404 14990
linux_tuned 1 64 2 0xc00 135 0.175 27.91 3.21 649486 650332 102220754 168578819 407305319 129161 8143249919 951722317 6652178 0 1427553309 15006
linux_tuned 2 64 2 0xc00 135 0.176 27.67 3.24 649480 649870 102495173 170330457 411635454 128301 16454369449 1920043062 13114161 0 2845126899 14993
linux_tuned 0 64 4 0xc00 135 0.177 27.55 3.24 648440 649870 101165960 167748320 405385780 128237 69440912 5524270 136383 0 20699965 14985
linux_tuned 1 64 4 0xc00 135 0.175 27.84 3.21 651390 650068 98568731 162996221 393740917 125119 7871922683 918230834 6472893 0 1387030158 15025
linux_tuned 2 64 4 0xc00 135 0.178 27.43 3.26 648050 649870 101470127 170566702 412073499 129796 16473774340 1920405069 13172814 0 2854972053 14983
linux_tuned 0 64 6 0xc00 135 0.21 23.3 3.82 648180 649870 105448083 175198432 423032367 127225 117803215 6575800 179000 0 24871000 9985
linux_tuned 1 64 6 0xc00 135 0.211 23.09 3.84 647790 649870 104437917 173803765 419891580 126822 9742870293 1132339530 8000403 0 1710740748 9982
linux_tuned 2 64 6 0xc00 135 0.21 23.24 3.83 649610 649936 106782813 179383671 433510357 129437 19689257354 2291046480 15730236 0 3406312032 9997
linux_tuned 0 64 8 0xc00 135 0.209 23.37 3.82 649676 649870 106299772 177882171 429882138 128614 155430280 6680948 196950 0 25495026 9997
linux_tuned 1 64 8 0xc00 135 0.211 23.17 3.84 647530 649870 106451325 177595640 429188719 129368 9925077329 1149290304 8137356 0 1736643432 9980
linux_tuned 2 64 8 0xc00 135 0.213 22.94 3.92 648440 649870 105583769 175782701 424463778 127682 19629344940 2279863362 15670788 0 3389993019 9987
linux_tuned 0 64 10 0xc00 135 0.209 23.35 3.83 649748 649870 105384877 174004718 420386465 126212 189073058 6621924 211338 0 25468418 9995
linux_tuned 1 64 10 0xc00 135 0.21 23.3 3.84 649610 649936 107585353 179532321 433571286 128797 10010765997 1154966925 8193235 0 1745519035 9997
linux_tuned 2 64 10 0xc00 135 0.21 23.26 3.8 648570 650068 106221360 176575682 426613432 127801 19569077524 2268676944 15610560 0 3373657550 9991
