type msg_size i itr dvfs time pk0j joules
netpipe 64 0 0 0x1d00 0.060505 1.983739 1.939607
netpipe 64 1 0 0x1d00 0.060996 1.985036 1.971668
netpipe 64 0 0 0x1b00 0.060796 1.953631 1.839059
netpipe 64 1 0 0x1b00 0.061003 1.986364 1.837884
netpipe 64 0 0 0x1900 0.060331 1.952242 1.696988
netpipe 64 1 0 0x1900 0.061089 1.986135 1.722701
netpipe 64 0 0 0x1700 0.061019 1.985585 1.610647
netpipe 64 1 0 0x1700 0.061595 2.018822 1.608770
netpipe 64 0 0 0x1500 0.061064 1.953402 1.509702
netpipe 64 1 0 0x1500 0.061622 1.983541 1.509641
netpipe 64 0 0 0x1300 0.061194 1.985738 1.412542
netpipe 64 1 0 0x1300 0.061984 1.984731 1.411626
netpipe 64 0 0 0x1100 0.061886 2.020104 1.350876
netpipe 64 1 0 0x1100 0.062282 2.018211 1.351014
netpipe 64 0 0 0xf00 0.062606 2.019753 1.268228
netpipe 64 1 0 0xf00 0.063063 2.053447 1.287547
netpipe 64 0 0 0xd00 0.063955 2.082669 1.216130
netpipe 64 1 0 0xd00 0.064228 2.085142 1.234259
netpipe 64 0 0 0xc00 0.064551 2.083829 1.199482
netpipe 64 1 0 0xc00 0.065418 2.118271 1.217916
netpipe 8192 0 0 0x1d00 0.162300 5.258001 5.247884
netpipe 8192 1 0 0x1d00 0.162052 5.251592 5.255788
netpipe 8192 0 0 0x1b00 0.162284 5.235355 4.899406
netpipe 8192 1 0 0x1b00 0.162161 5.240467 4.912133
netpipe 8192 0 0 0x1900 0.161844 5.243229 4.579877
netpipe 8192 1 0 0x1900 0.161699 5.237507 4.581007
netpipe 8192 0 0 0x1700 0.160773 5.203614 4.254213
netpipe 8192 1 0 0x1700 0.160829 5.251454 4.252321
netpipe 8192 0 0 0x1500 0.160683 5.214403 3.998654
netpipe 8192 1 0 0x1500 0.160511 5.217577 3.998837
netpipe 8192 0 0 0x1300 0.161962 5.283470 3.766016
netpipe 8192 1 0 0x1300 0.161897 5.281501 3.765100
netpipe 8192 0 0 0x1100 0.164633 5.345319 3.613003
netpipe 8192 1 0 0x1100 0.164679 5.342114 3.610486
netpipe 8192 0 0 0xf00 0.168266 5.439183 3.450774
netpipe 8192 1 0 0xf00 0.168213 5.441411 3.473619
netpipe 8192 0 0 0xd00 0.171650 5.542753 3.341940
netpipe 8192 1 0 0xd00 0.171797 5.572815 3.340200
netpipe 8192 0 0 0xc00 0.175772 5.700877 3.316853
netpipe 8192 1 0 0xc00 0.175595 5.702113 3.317921
netpipe 65536 0 6 0x1d00 0.675023 33.272461 33.210445
netpipe 65536 1 6 0x1d00 0.678443 33.388638 33.393887
netpipe 65536 0 6 0x1b00 0.665945 32.835125 32.789879
netpipe 65536 1 6 0x1b00 0.671981 33.070328 33.031872
netpipe 65536 0 6 0x1900 0.678458 33.382442 33.371681
netpipe 65536 1 6 0x1900 0.664498 32.656860 32.669052
netpipe 65536 0 6 0x1700 0.673278 33.061813 33.095997
netpipe 65536 1 6 0x1700 0.678452 33.348824 33.316044
netpipe 65536 0 6 0x1500 0.664012 32.639675 32.629314
netpipe 65536 1 6 0x1500 0.673934 33.171654 33.084705
netpipe 65536 0 6 0x1300 0.678460 33.366875 33.337608
netpipe 65536 1 6 0x1300 0.662785 32.585884 32.617931
netpipe 65536 0 6 0x1100 0.675216 33.197796 33.121998
netpipe 65536 1 6 0x1100 0.678461 33.275558 33.283329
netpipe 65536 0 6 0xf00 0.662207 32.555824 32.468246
netpipe 65536 1 6 0xf00 0.676660 33.222240 33.272781
netpipe 65536 0 6 0xd00 0.678460 33.355232 33.319263
netpipe 65536 1 6 0xd00 0.662115 32.643078 32.448620
netpipe 65536 0 6 0xc00 0.677755 33.316196 33.301594
netpipe 65536 1 6 0xc00 0.678398 33.374554 33.361778
netpipe 524288 0 6 0x1d00 4.645379 229.278397 228.407898
netpipe 524288 1 6 0x1d00 4.645283 229.180969 228.178619
netpipe 524288 0 6 0x1b00 4.644746 229.048401 228.127075
netpipe 524288 1 6 0x1b00 4.645069 228.857941 228.494980
netpipe 524288 0 6 0x1900 4.645309 228.933548 228.074615
netpipe 524288 1 6 0x1900 4.645218 229.113922 228.272461
netpipe 524288 0 6 0x1700 4.645196 229.166275 228.435593
netpipe 524288 1 6 0x1700 4.645167 229.006546 228.333817
netpipe 524288 0 6 0x1500 4.645169 229.073364 228.199249
netpipe 524288 1 6 0x1500 4.645049 229.040405 227.975037
netpipe 524288 0 6 0x1300 4.644970 229.132812 227.998093
netpipe 524288 1 6 0x1300 4.644869 228.925446 227.988647
netpipe 524288 0 6 0x1100 4.645143 229.203003 228.028564
netpipe 524288 1 6 0x1100 4.645392 229.019272 227.931595
netpipe 524288 0 6 0xf00 4.645769 229.037033 228.043915
netpipe 524288 1 6 0xf00 4.645683 229.172348 227.860352
netpipe 524288 0 6 0xd00 4.645662 229.315750 228.034485
netpipe 524288 1 6 0xd00 4.646046 229.184799 228.081238
netpipe 524288 0 6 0xc00 4.646274 229.271225 228.059570
