sys i itr dvfs rapl lat50 lat75 lat90 lat99 requests time joules rx_desc rx_bytes tx_desc tx_bytes instructions cycles ref_cycles llc_miss c1 c1e c3 c6 c7 num_interrupts
ebbrt_poll 0 0 0x1d00 135 52.0 52.0 53.0 59.0 100330 5.398 176.01 100325 10834668 200632 21066360 14045427417 15645171905 15645171894 753840 0 0 0 0 0 5309
ebbrt_poll 1 0 0x1d00 135 52.0 53.0 53.0 56.0 100623 5.398 175.93 100600 10864800 201200 21126000 13902650617 15651328914 15651328913 687299 0 0 0 0 0 5311
ebbrt_poll 0 0 0x1b00 135 54.0 55.0 56.0 58.0 100260 5.5989 169.8 100259 10827684 200506 21053130 13230328622 15114322846 16233902315 622581 0 0 0 0 0 5572
ebbrt_poll 1 0 0x1b00 135 55.0 56.0 57.0 59.0 100268 5.6977 172.87 100244 10826352 200488 21051240 13374365314 15380853593 16520176076 750593 0 0 0 0 0 5584
ebbrt_poll 2 0 0x1b00 135 56.0 56.0 57.0 59.0 101414 5.7983 175.98 101416 10952688 202822 21296310 13770917763 15652645045 16812100226 728053 0 0 0 0 0 5645
ebbrt_poll 0 0 0x1900 135 57.0 57.0 58.0 61.0 100735 5.8981 167.43 100715 10877220 201430 21150150 12587449295 14742648772 17101472579 699925 0 0 0 0 0 5752
ebbrt_poll 1 0 0x1900 135 57.0 58.0 58.0 61.0 100802 5.899 167.5 100790 10885272 201578 21165690 12469859892 14744970306 17104165577 748389 0 0 0 0 0 5740
ebbrt_poll 2 0 0x1900 135 57.0 58.0 58.0 61.0 101020 5.8987 167.54 101016 10909440 202020 21212100 12393413468 14744276605 17103360885 685045 0 0 0 0 0 5700
ebbrt_poll 0 0 0x1700 135 60.0 61.0 62.0 64.0 100079 6.1999 164.18 100088 10809072 200158 21016590 11436492570 14257542561 17976901495 718017 0 0 0 0 0 5951
ebbrt_poll 1 0 0x1700 135 60.0 61.0 62.0 64.0 100432 6.1989 164.48 100431 10846164 200846 21088830 11406416321 14255042304 17973748992 666640 0 0 0 0 0 5939
ebbrt_poll 2 0 0x1700 135 61.0 61.0 62.0 64.0 101322 6.2991 166.97 101331 10943316 202644 21277620 11707268772 14485690075 18264565748 716871 0 0 0 0 0 6075
ebbrt_poll 0 0 0x1500 135 63.0 64.0 65.0 67.0 100214 6.4985 161.4 100212 10822704 200416 21043680 10812417343 13644641253 18842599838 701275 0 0 0 0 0 6271
ebbrt_poll 1 0 0x1500 135 64.0 65.0 66.0 68.0 100338 6.599 163.76 100342 10836648 200672 21070560 11070401135 13855679752 19134033946 640674 0 0 0 0 0 6283
ebbrt_poll 2 0 0x1500 135 63.0 64.0 65.0 67.0 101477 6.5982 163.76 101467 10958436 202934 21308070 10882228704 13854074973 19131817795 657411 0 0 0 0 0 6349
ebbrt_poll 0 0 0x1300 135 67.0 68.0 69.0 71.0 100211 6.8981 160.37 100195 10821060 200390 21040950 9965764747 13104345410 20001369310 643764 0 0 0 0 0 6642
ebbrt_poll 1 0 0x1300 135 68.0 68.0 69.0 72.0 101100 6.9978 162.75 101090 10917528 202172 21228060 10219335753 13293850762 20290614324 703484 0 0 0 0 0 6729
ebbrt_poll 2 0 0x1300 135 68.0 68.0 69.0 72.0 101041 6.999 162.74 101041 10911996 202064 21216720 10106074096 13296008646 20293907912 705393 0 0 0 0 0 6716
ebbrt_poll 0 0 0x1100 135 73.0 74.0 75.0 78.0 100067 7.4991 163.68 100076 10807776 200134 21014070 9566922841 12746762062 21744476457 619548 0 0 0 0 0 6846
ebbrt_poll 1 0 0x1100 135 73.0 75.0 76.0 79.0 101165 7.5973 165.78 101150 10924200 202300 21241500 9548440578 12913057221 22028156429 653433 0 0 0 0 0 6735
ebbrt_poll 2 0 0x1100 135 73.0 75.0 76.0 79.0 101189 7.5988 165.78 101189 10927980 202360 21247800 9526954993 12915584518 22032467714 638556 0 0 0 0 0 6547
ebbrt_poll 0 0 0xf00 135 82.0 85.0 86.0 89.0 100722 8.494 174.27 100666 10871928 201332 21139860 9413793274 12735056786 24621109794 593324 0 0 0 0 0 2082
ebbrt_poll 1 0 0xf00 135 83.0 85.0 86.0 90.0 100369 8.4996 174.52 100378 10840392 200738 21077490 9383159560 12744124111 24638639946 530155 0 0 0 0 0 1929
ebbrt_poll 2 0 0xf00 135 82.0 84.0 85.0 89.0 100367 8.398 172.37 100351 10837908 200702 21073710 9330365965 12589547923 24339792655 590395 0 0 0 0 0 2228
ebbrt_poll 0 0 0xd00 135 94.0 97.0 98.0 102.0 100673 9.693 187.19 100617 10866636 201234 21129570 9371366984 12597111384 28101248472 753887 0 0 0 0 0 1583
ebbrt_poll 1 0 0xd00 135 94.0 97.0 98.0 102.0 100011 9.5995 185.35 100020 10801728 200022 21002310 9373035882 12471753450 27821603850 763377 0 0 0 0 0 1575
ebbrt_tuned 0 0 0x1d00 135 54.0 54.0 55.0 106.0 101046 5.699 179.59 101055 10913508 202092 21219660 9323353835 13114558927 13321695722 680932 0 0 0 0 1158 201932
ebbrt_tuned 1 0 0x1d00 135 53.0 54.0 55.0 106.0 100223 5.5998 176.63 100232 10824624 200446 21046830 9271866649 13006165298 13185319075 710544 0 0 0 0 268 200316
ebbrt_tuned 0 0 0x1b00 135 55.0 56.0 57.0 92.0 100835 5.8001 172.14 100844 10890720 201670 21175350 9452770094 13072832705 14108530102 566802 0 0 0 0 16 201532
ebbrt_tuned 1 0 0x1b00 135 56.0 57.0 58.0 106.0 101040 5.8995 174.89 101049 10912860 202080 21218400 9476444710 13184367986 14246139829 778284 0 0 0 0 152 201948
ebbrt_tuned 0 0 0x1900 135 59.0 59.0 60.0 66.0 101126 6.0992 169.72 101135 10922148 202252 21236460 9370135512 13205797992 15343199911 763553 0 0 0 0 30 202119
ebbrt_tuned 1 0 0x1900 135 58.0 59.0 60.0 67.0 100136 5.9995 167.01 100145 10815228 200272 21028560 9204401190 13003131279 15107732961 819484 0 0 0 0 99 200122
ebbrt_tuned 0 0 0x1500 135 78.0 79.0 80.0 100.0 100895 7.9992 198.25 100904 10897200 201790 21187950 9297107239 16158866794 22331923976 8517766 0 0 0 0 343 200295
ebbrt_tuned 1 0 0x1500 135 77.0 78.0 79.0 87.0 100763 7.7998 193.2 100772 10882944 201526 21160230 9225220538 15747972035 21760591148 8724484 0 0 0 0 1511 199883
ebbrt_tuned 0 0 0xd00 135 93.0 96.0 97.0 102.0 100996 9.5989 185.19 101005 10908108 201992 21209160 9399994809 12477627540 27834730613 792937 0 0 0 0 0 1809
ebbrt_tuned 1 0 0xd00 135 92.0 95.0 97.0 101.0 100116 9.4995 183.23 100125 10813068 200232 21024360 9237381601 12347583462 27544610814 589236 0 0 0 0 1 1788
ebbrt_tuned 0 0 0x1d00 75 54.0 54.0 55.0 106.0 101152 5.6999 179.51 101161 10924956 202304 21241920 9224933622 13300111213 13475025682 624018 0 0 0 0 1913 202188
ebbrt_tuned 1 0 0x1d00 75 53.0 54.0 55.0 106.0 101477 5.6993 179.35 101486 10960056 202954 21310170 9261524001 13199824469 13388400391 805659 0 0 0 0 1046 202833
ebbrt_tuned 0 0 0x1b00 75 56.0 57.0 57.0 65.0 100160 5.7992 172.33 100169 10817820 200320 21033600 9347416160 13204918640 14239047879 772513 0 0 0 0 38 200200
ebbrt_tuned 1 0 0x1b00 75 56.0 57.0 57.0 72.0 100133 5.7997 172.25 100142 10814904 200266 21027930 9317099162 13103737015 14137580939 787026 0 0 0 0 32 200151
ebbrt_tuned 0 0 0x1900 75 58.0 59.0 60.0 67.0 101314 6.099 169.74 101323 10942452 202628 21275940 9404579941 13236348065 15376721243 820008 0 0 0 0 50 202464
ebbrt_tuned 1 0 0x1900 75 58.0 59.0 60.0 66.0 100205 5.9998 167.04 100214 10822680 200410 21043050 9347164392 13039645418 15151531980 1037458 0 0 0 0 85 200252
ebbrt_tuned 0 0 0x1500 75 77.0 78.0 80.0 86.0 100678 7.7999 193.03 100687 10873764 201356 21142380 9181206725 15781657078 21806072457 8691564 0 0 0 0 1170 199765
ebbrt_tuned 1 0 0x1500 75 78.0 79.0 80.0 87.0 100975 7.8995 195.55 100984 10905840 201950 21204750 9235511639 16002981552 22113692451 8717575 0 0 0 0 749 200318
ebbrt_tuned 0 0 0xd00 75 94.0 97.0 99.0 103.0 100460 9.6998 186.99 100469 10850220 200920 21096600 9513976052 12601836142 28111788319 802723 0 0 0 0 0 1730
ebbrt_tuned 1 0 0xd00 75 94.0 97.0 99.0 103.0 100473 9.6994 187.14 100482 10851624 200946 21099330 9566352373 12608888852 28127532738 632608 0 0 0 0 0 1748
ebbrt_tuned 0 2 0x1d00 135 53.0 54.0 55.0 106.0 100938 5.6996 179.15 100947 10901844 201876 21196980 9399962166 13159559678 13424729474 966862 0 0 0 0 563 201632
ebbrt_tuned 2 2 0x1d00 135 54.0 54.0 55.0 106.0 101204 5.6996 179.51 101213 10930572 202408 21252840 9501813526 13455460640 13630228694 1073289 0 0 0 0 1722 202294
ebbrt_tuned 0 2 0x1b00 135 56.0 56.0 57.0 105.0 100558 5.7992 172.25 100567 10860804 201116 21117180 9434514728 13184704862 14240270432 1068932 0 0 0 0 30 201042
ebbrt_tuned 1 2 0x1b00 135 56.0 57.0 58.0 64.0 101345 5.8998 175.52 101354 10945800 202690 21282450 9509519969 13603805342 14661022239 1011284 0 0 0 0 159 202641
ebbrt_tuned 2 2 0x1b00 135 56.0 56.0 57.0 65.0 100990 5.7994 172.32 100999 10907460 201980 21207900 9561543732 13274705084 14317726880 1016777 0 0 0 0 24 201919
ebbrt_tuned 0 2 0x1900 135 59.0 59.0 60.0 68.0 100982 6.0997 170.04 100991 10906596 201964 21206220 9624332996 13529940391 15712723740 1097486 0 0 0 0 15 201745
ebbrt_tuned 1 2 0x1900 135 59.0 60.0 60.0 65.0 100366 6.0995 169.9 100375 10840068 200732 21076860 9582423982 13408722133 15578327358 1056644 0 0 0 0 15 200624
ebbrt_tuned 2 2 0x1900 135 60.0 60.0 61.0 66.0 101078 6.1991 172.59 101087 10916964 202156 21226380 9525576414 13655156835 15866636919 990052 0 0 0 0 34 202059
ebbrt_tuned 0 2 0x1700 135 73.0 74.0 75.0 99.0 101255 7.5999 201.64 101264 10936080 202510 21263550 9518445074 17094645073 21582592541 9036927 0 0 0 0 343 200831
ebbrt_tuned 1 2 0x1700 135 73.0 74.0 75.0 99.0 100283 7.4993 198.86 100292 10831104 200566 21059430 9421043833 16878983680 21307066905 8941602 0 0 0 0 270 199034
ebbrt_tuned 2 2 0x1700 135 73.0 74.0 75.0 116.0 100090 7.4999 198.74 100099 10810260 200180 21018900 9411864824 16853698849 21283678956 8885812 0 0 0 0 327 198303
ebbrt_tuned 0 2 0x1500 135 79.0 80.0 81.0 86.0 101148 7.9996 197.99 101157 10924524 202296 21241080 9514281532 16533379619 22842410019 9195225 0 0 0 0 395 200292
ebbrt_tuned 1 2 0x1500 135 79.0 80.0 81.0 86.0 101143 7.9987 197.98 101152 10923984 202286 21240030 9525974739 16528006445 22835775776 9147560 0 0 0 0 386 200389
ebbrt_tuned 2 2 0x1500 135 79.0 80.0 81.0 85.0 101060 7.8998 195.57 101069 10915020 202120 21222600 9486967645 16336393498 22568964321 9218185 0 0 0 0 519 200131
ebbrt_tuned 0 2 0x1300 135 71.0 84.0 86.0 88.0 100258 7.5994 176.62 100267 10828404 200516 21054180 9409468200 14358647345 21916659752 8039535 0 0 0 0 757 176559
ebbrt_tuned 1 2 0x1300 135 71.0 85.0 86.0 88.0 100932 7.6991 178.76 100941 10901196 201864 21195720 9468287935 14540228446 22193781577 8030846 0 0 0 0 841 178728
ebbrt_tuned 2 2 0x1300 135 71.0 85.0 86.0 89.0 100075 7.7001 178.77 100084 10808640 200150 21015750 9371259866 14530386286 22178805948 8204069 0 0 0 0 877 180321
ebbrt_tuned 0 2 0x1100 135 76.0 78.0 79.0 93.0 100487 7.7992 169.92 100496 10853136 200974 21102270 9406353515 13253142845 22608445675 6017990 0 0 0 0 359 128327
ebbrt_tuned 1 2 0x1100 135 75.0 77.0 78.0 93.0 100160 7.6989 167.68 100169 10817820 200320 21033600 9413499815 13083432153 22318893899 5193908 0 0 0 0 494 116584
ebbrt_tuned 2 2 0x1100 135 75.0 77.0 79.0 93.0 100004 7.6988 167.62 100013 10800972 200008 21000840 9493045466 13083372334 22318732253 4837345 0 0 0 0 510 114545
ebbrt_tuned 0 2 0xf00 135 81.0 84.0 85.0 89.0 100716 8.3994 172.35 100725 10877868 201432 21150360 9417777956 12597908709 24356428476 1068122 0 0 0 0 74 7349
ebbrt_tuned 1 2 0xf00 135 81.0 83.0 85.0 89.0 101021 8.3998 172.42 101030 10910808 202042 21214410 9570044246 12598644210 24357769987 903049 0 0 0 0 25 4915
ebbrt_tuned 2 2 0xf00 135 82.0 84.0 85.0 90.0 100380 8.3994 172.38 100389 10841580 200760 21079800 9510201608 12598127254 24356770560 828043 0 0 0 0 66 6733
ebbrt_tuned 0 2 0xd00 135 93.0 96.0 98.0 102.0 100222 9.5994 184.99 100231 10824516 200444 21046620 9466722617 12478895081 27837548079 811742 0 0 0 0 0 1758
ebbrt_tuned 1 2 0xd00 135 93.0 96.0 98.0 102.0 100471 9.5993 184.95 100480 10851408 200942 21098910 9526902041 12478844063 27837445796 737185 0 0 0 0 0 1785
ebbrt_tuned 2 2 0xd00 135 93.0 96.0 98.0 102.0 100609 9.6 185.0 100618 10866312 201218 21127890 9470989782 12479676444 27839291066 772565 0 0 0 0 0 1728
ebbrt_tuned 0 4 0x1d00 135 53.0 54.0 55.0 106.0 100179 5.5994 176.11 100188 10819872 200358 21037590 9507652031 13168520069 13338527206 1151169 0 0 0 0 768 200268
ebbrt_tuned 1 4 0x1d00 135 53.0 54.0 55.0 106.0 101733 5.7001 179.29 101742 10987704 203466 21363930 9551438345 13353539530 13543562774 1462862 0 0 0 0 810 203331
ebbrt_tuned 2 4 0x1d00 135 54.0 55.0 60.0 107.0 101272 6.0995 189.97 101281 10937916 202544 21267120 9607741038 13263842927 14037670168 1479498 0 0 0 0 2472 201005
ebbrt_tuned 0 4 0x1b00 135 57.0 57.0 58.0 108.0 101462 6.0993 180.08 101471 10958436 202924 21307020 9498774425 13357010651 14609372398 1516826 0 0 0 0 1896 202680
ebbrt_tuned 1 4 0x1b00 135 55.0 56.0 57.0 63.0 101262 5.7995 172.16 101271 10936836 202524 21265020 9490321340 13289718115 14323010564 1487221 0 0 0 0 31 202473
ebbrt_tuned 2 4 0x1b00 135 56.0 57.0 57.0 65.0 100168 5.7992 172.06 100177 10818684 200336 21035280 9379322712 13244148251 14287914184 1408082 0 0 0 0 69 200295
ebbrt_tuned 0 4 0x1900 135 58.0 59.0 60.0 66.0 101593 6.1 169.59 101602 10972584 203186 21334530 9513038428 13372720763 15538453431 1557686 0 0 0 0 12 203061
ebbrt_tuned 1 4 0x1900 135 58.0 59.0 60.0 69.0 101338 6.0993 169.39 101347 10945044 202676 21280980 9493937509 13255834575 15408947319 1530780 0 0 0 0 13 202534
ebbrt_tuned 2 4 0x1900 135 58.0 59.0 60.0 65.0 100165 5.9992 166.76 100174 10818360 200330 21034650 9374994651 13156057542 15284631656 1521062 0 0 0 0 46 200207
ebbrt_tuned 0 4 0x1700 135 72.0 73.0 75.0 101.0 100610 7.4995 198.77 100619 10866420 201220 21128100 9432822662 16844922075 21273623119 9390571 0 0 0 0 286 199164
ebbrt_tuned 1 4 0x1700 135 72.0 73.0 74.0 101.0 100989 7.4995 198.79 100998 10907352 201978 21207690 9463286911 16853401237 21282087610 9492933 0 0 0 0 209 200092
ebbrt_tuned 0 4 0x1500 135 78.0 79.0 80.0 86.0 100052 7.7996 193.04 100061 10806156 200104 21010920 9405572146 16114679774 22264372304 9605717 0 0 0 0 658 198152
ebbrt_tuned 1 4 0x1500 135 78.0 79.0 80.0 86.0 100727 7.8991 195.59 100736 10879056 201454 21152670 9579512605 16299742698 22521954973 9643113 0 0 0 0 677 199717
ebbrt_tuned 2 4 0x1500 135 78.0 79.0 80.0 85.0 100560 7.8992 195.56 100569 10861020 201120 21117600 9581851397 16298523447 22520230198 9516226 0 0 0 0 643 199558
ebbrt_tuned 0 4 0x1300 135 73.0 85.0 86.0 89.0 100994 7.8996 183.38 101003 10907892 201988 21208740 9569664193 14882328975 22716268052 8947336 0 0 0 0 464 185889
ebbrt_tuned 1 4 0x1300 135 84.0 86.0 87.0 90.0 101000 8.199 190.57 101009 10908540 202000 21210000 9631003262 15400311587 23508216379 9142896 0 0 0 0 1000 191924
ebbrt_tuned 2 4 0x1300 135 73.0 85.0 86.0 89.0 100792 7.8997 183.59 100801 10886076 201584 21166320 9506169887 14881943282 22716113337 8880022 0 0 0 0 476 184625
ebbrt_tuned 2 4 0x1100 135 75.0 77.0 78.0 92.0 100357 7.6993 167.85 100366 10839096 200714 21074970 9588438487 13084557147 22320783568 4167222 0 0 0 0 376 106501
ebbrt_tuned 0 4 0xf00 135 81.0 83.0 85.0 89.0 101162 8.3992 172.28 101171 10926036 202324 21244020 9631914977 12597828784 24356134039 938000 0 0 0 0 23 4625
ebbrt_tuned 1 4 0xf00 135 81.0 83.0 85.0 89.0 100989 8.4002 172.45 100998 10907352 201978 21207690 9585227925 12599264656 24358880223 895350 0 0 0 0 31 5044
ebbrt_tuned 2 4 0xf00 135 81.0 83.0 84.0 88.0 100384 8.2995 170.25 100393 10842012 200768 21080640 9552117644 12448009579 24066662767 770846 0 0 0 0 17 6056
ebbrt_tuned 0 4 0xd00 135 94.0 96.0 98.0 103.0 100157 9.6001 185.24 100166 10817496 200314 21032970 9469228004 12479893208 27839774612 845280 0 0 0 0 0 1722
ebbrt_tuned 1 4 0xd00 135 94.0 97.0 99.0 103.0 100542 9.6993 187.09 100551 10859076 201084 21113820 9543208260 12608887226 28127530534 731106 0 0 0 0 0 1716
ebbrt_tuned 2 4 0xd00 135 94.0 97.0 99.0 103.0 100455 9.6995 187.12 100464 10849680 200910 21095550 9437908064 12609146783 28128098006 819871 0 0 0 0 0 1721
ebbrt_tuned 1 6 0x1d00 135 60.0 108.0 110.0 112.0 100887 7.9001 239.24 100896 10896336 201774 21186270 9500341063 13611836241 17256218493 1414770 0 0 0 0 1452 175002
ebbrt_tuned 0 6 0x1b00 135 60.0 61.0 109.0 112.0 100577 7.0991 206.01 100586 10862856 201154 21121170 9615740129 13465241239 16171142690 1430091 0 0 0 0 1700 194452
ebbrt_tuned 1 6 0x1b00 135 60.0 91.0 110.0 112.0 100298 7.2999 210.69 100307 10832724 200596 21062580 9542136230 13321435645 16424988796 1500396 0 0 0 0 1592 190382
ebbrt_tuned 2 6 0x1b00 135 60.0 93.0 109.0 112.0 100211 7.3994 213.07 100220 10823328 200422 21044310 9564285366 13197425546 16536047399 1373256 0 0 0 0 1468 187378
