core,oloop,timeout_us,work_type,fire_iter_type,fire_iter,dvfs,joules,time,instructions,ref_cycles,llc_miss,sleep_cnt_0,sleep_cnt_1,sleep_cnt_2,sleep_cnt_3
1,1,2,sum1,time_limit_sec,3,0x1d00,93.896,3.000,557849390,8305329720,82067462,3999,897488,0,0
1,1,2,sum1,time_limit_sec,3,0x1d00,93.834,3.000,558051538,8306224776,82094327,3999,897784,0,0
1,1,2,sum1,time_limit_sec,3,0x1d00,93.815,3.000,560243432,8318115153,82416649,3997,901334,0,0
1,1,2,sum1,time_limit_sec,3,0x1500,73.252,3.000,467146502,8695943625,68769705,4001,752208,0,0
1,1,2,sum1,time_limit_sec,3,0x1500,73.239,3.000,467033625,8694970878,68752358,4002,752015,0,0
1,1,2,sum1,time_limit_sec,3,0x1500,73.217,3.000,467098619,8695502274,68763292,4002,752133,0,0
1,1,4,sum1,time_limit_sec,3,0x1500,72.629,3.000,399991818,8201568097,58920756,4002,643920,0,0
1,1,4,sum1,time_limit_sec,3,0x1500,72.673,3.000,399783786,8199137665,58887489,4002,643560,0,0
1,1,4,sum1,time_limit_sec,3,0x1500,72.670,3.000,400097643,8201377509,58936585,4002,644097,0,0
1,1,2,sum1,time_limit_sec,3,0xd00,57.342,3.000,296347429,8697351604,43747272,3999,477191,0,0
1,1,2,sum1,time_limit_sec,3,0xd00,57.340,3.000,296356112,8697432688,43748227,4000,477197,0,0
1,1,2,sum1,time_limit_sec,3,0xd00,57.360,3.000,296353998,8697434283,43748151,4000,477195,0,0
1,1,4,sum1,time_limit_sec,3,0x1d00,91.301,3.000,404224701,6666452401,59270105,3998,647843,0,0
1,1,4,sum1,time_limit_sec,3,0x1d00,91.309,3.000,403692974,6665864194,59191639,4000,646988,0,0
1,1,4,sum1,time_limit_sec,3,0x1d00,91.335,3.000,403738879,6665744366,59198532,3994,647065,0,0
1,1,4,sum1,time_limit_sec,3,0xd00,57.378,3.000,295254469,8697325823,43440255,4000,475431,0,0
1,1,4,sum1,time_limit_sec,3,0xd00,57.353,3.000,295289853,8698320871,43445909,4000,475495,0,0
1,1,4,sum1,time_limit_sec,3,0xd00,57.365,3.000,295263150,8697677129,43437394,4000,475452,0,0
1,1,8,sum1,time_limit_sec,3,0x1d00,83.118,3.000,185497793,4764696694,26540533,3994,289879,0,0
1,1,8,sum1,time_limit_sec,3,0x1d00,83.454,3.000,185423432,4763016608,26540615,3995,289878,0,0
1,1,8,sum1,time_limit_sec,3,0x1d00,83.310,3.000,185472378,4766147535,26542987,3993,289904,0,0
1,1,8,sum1,time_limit_sec,3,0x1500,67.986,3.000,175462009,4878925084,25631013,3993,280019,0,0
1,1,8,sum1,time_limit_sec,3,0x1500,67.953,3.000,175385684,4879543654,25618392,3989,279878,0,0
