sys i itr dvfs rapl read_5th read_10th read_50th read_90th read_95th read_99th measure_QPS target_QPS time joules rx_desc rx_bytes tx_desc tx_bytes instructions ref_cycles num_interrupts
linux_tuned 0 1 0x1d00 135 47.3 49.6 55.3 67.6 72.5 84.3 200046.0 200000 20.0 1610.54 5387165 797951416 12077105 961237631 111903800747.0 329986815358.0 8234420
linux_tuned 1 1 0x1d00 135 47.3 49.6 55.4 67.7 72.7 84.1 199908.8 200000 20.0 1614.17 5379062 797884393 12069639 962766876 111819300524.0 329184129520.0 8211371
linux_tuned 2 1 0x1d00 135 48.2 50.1 55.9 68.8 73.9 85.8 200050.2 200000 20.01 1615.09 5367299 796850908 12076589 956488210 111781543638.0 329429601006.0 8211769
linux_tuned 0 1 0x1d00 135 46.0 47.5 55.9 69.7 75.7 92.1 400033.7 400000 20.01 2204.44 8582412 1451854916 24102948 1929310952 193261594129.0 480319652183.0 12545104
linux_tuned 1 1 0x1d00 135 45.9 47.2 55.5 69.2 75.2 93.3 400042.0 400000 20.01 2205.36 8580938 1451300821 24103350 1921474624 193005777228.0 479030236377.0 12572461
linux_tuned 2 1 0x1d00 135 45.9 47.2 55.6 69.3 75.4 91.9 400021.9 400000 20.01 2204.1 8597593 1453290148 24102081 1922553989 193134827718.0 479268153102.0 12617371
linux_tuned 0 1 0x1d00 135 45.4 47.0 56.5 71.3 77.8 96.0 599934.3 600000 20.01 2688.9 12492921 2136619883 35700016 2849304045 267006187366.0 587560601571.0 15402631
linux_tuned 1 1 0x1d00 135 45.3 46.8 56.2 71.3 77.7 96.2 600073.7 600000 20.0 2727.74 12639229 2162377855 36105489 2874111636 270016900087.0 594475181539.0 15570030
linux_tuned 2 1 0x1d00 135 45.3 46.8 56.2 70.9 77.2 95.8 599987.3 600000 20.01 2732.11 12633063 2161667634 36100577 2879398856 269905649015.0 593818991376.0 15656704
linux_tuned 0 1 0x1d00 135 47.2 50.0 60.4 82.2 93.8 128.5 799621.4 800000 20.01 2752.17 15484268 2645920294 44117727 3525325492 310557839033.0 652202413861.0 15996769
linux_tuned 1 1 0x1d00 135 47.1 50.0 60.4 82.3 93.6 126.5 799422.8 800000 20.01 2758.17 15539092 2657372005 44267640 3541823299 311382042909.0 654897253361.0 15997239
linux_tuned 2 1 0x1d00 135 47.3 50.1 60.6 82.6 94.0 128.7 799841.6 800000 20.01 2742.86 15522243 2654447973 44221958 3535070353 311224260300.0 654603732239.0 15997028
linux_tuned 0 1 0x1d00 135 47.5 50.4 63.2 94.5 112.9 179.8 899992.5 900000 20.01 2794.29 17086269 2918132104 48503576 3878288537 330754906514.0 683879561795.0 15996750
linux_tuned 1 1 0x1d00 135 47.4 50.4 63.1 94.4 112.2 171.3 900121.6 900000 20.0 2778.4 17050679 2910652418 48396353 3869980793 330011663553.0 681545071017.0 15997169
linux_tuned 2 1 0x1d00 135 47.5 50.4 63.0 94.9 112.9 175.8 899911.2 900000 20.01 2752.04 17065785 2916167348 48442712 3884707587 331200957967.0 684204322703.0 15997220
linux_tuned 0 1 0x1d00 135 48.8 51.7 68.9 124.9 156.6 271.9 999743.7 1000000 20.01 2881.35 19555228 3334781411 55133425 4423814438 363771400481.0 731940474068.0 15996950
linux_tuned 1 1 0x1d00 135 49.3 52.0 69.4 125.7 160.9 281.0 999455.1 1000000 20.01 2906.49 19531254 3331349929 55076919 4429775703 363435851917.0 732238669062.0 15997032
linux_tuned 2 1 0x1d00 135 48.3 51.4 68.6 124.5 158.6 284.0 999500.2 1000000 20.01 2868.77 19536546 3332296071 55102969 4423632421 363510674697.0 731157680925.0 15997005
linux_tuned 0 1 0x1d00 135 51.1 55.0 83.8 176.1 220.1 441.7 1100018.5 1100000 20.01 3158.74 23355837 3972370378 65068838 5274907460 413973344387.0 798023542974.0 14701735
linux_tuned 1 1 0x1d00 135 50.4 54.1 83.4 173.5 213.7 421.2 1099788.6 1100000 20.01 3152.88 23349992 3970325081 65069305 5258771810 414511360702.0 796448401884.0 14533944
linux_tuned 2 1 0x1d00 135 50.3 54.0 83.0 175.3 220.6 442.2 1099558.0 1100000 20.01 3158.15 23343611 3971343137 65041187 5260733292 414869358427.0 799504824839.0 14736896
linux_tuned 0 1 0x1d00 135 52.4 57.5 108.8 205.0 265.4 547.9 1199979.8 1200000 20.01 3141.76 25662688 4345658824 70375711 5730687018 434413206541.0 786126207366.0 10092321
linux_tuned 1 1 0x1d00 135 52.4 58.1 112.0 209.5 276.6 560.7 1200000.7 1200000 20.01 3144.59 25659616 4344627788 70361754 5729321176 434511984571.0 787754964323.0 10307487
linux_tuned 2 1 0x1d00 135 53.1 58.2 110.3 210.1 275.3 560.8 1199545.8 1200000 20.01 3146.86 25652290 4345674719 70334248 5739457655 434079652968.0 788230907480.0 10395532
linux_tuned 0 1 0x1d00 135 49.5 50.4 56.4 69.2 74.1 85.7 200044.1 200000 20.01 1614.0 5378771 797105778 12076152 959843876 112415267137.0 332675232489.0 8218447
linux_tuned 1 1 0x1d00 135 47.3 49.6 55.4 67.7 72.8 84.3 199849.1 200000 20.01 1616.04 5371498 797125498 12066211 959167600 111718243358.0 329602985626.0 8217302
linux_tuned 2 1 0x1d00 135 47.6 49.9 55.6 68.1 73.0 84.8 199997.9 200000 20.0 1615.7 5392104 798746540 12074508 959690867 112050099037.0 330602385105.0 8229723
linux_tuned 0 1 0x1d00 135 45.9 47.2 55.5 69.4 75.7 93.8 400220.0 400000 20.01 2201.53 8593512 1452267983 24112222 1918916600 192911021220.0 479041791398.0 12593874
