sys i itr dvfs rapl read_5th read_10th read_50th read_90th read_95th read_99th measure_QPS target_QPS time joules rx_desc rx_bytes tx_desc tx_bytes instructions ref_cycles num_interrupts
linux_tuned 0 1 0x1d00 135 47.7 49.9 55.7 68.0 72.8 84.4 200035.0 200000 20.01 1621.92 5372098 796442388 12076134 961163474 112324425580.0 333599357219.0 8218389
linux_tuned 1 1 0x1d00 135 49.0 50.3 56.3 69.0 73.9 85.1 199841.4 200000 20.0 1622.39 5387190 798251344 12065089 958524461 112008352490.0 331895209716.0 8213073
linux_tuned 2 1 0x1d00 135 47.6 49.9 55.5 68.2 73.2 85.0 199941.6 200000 20.0 1623.53 5381772 797535461 12069888 956691628 111913967453.0 332148930803.0 8235086
linux_tuned 0 1 0x1d00 135 46.7 48.7 56.5 70.5 76.6 93.7 400021.9 400000 20.0 2219.17 8587724 1453938798 24101421 1924545343 192747535620.0 481015828619.0 12603355
linux_tuned 1 1 0x1d00 135 45.7 46.9 55.3 69.0 74.9 91.3 399797.8 400000 20.01 2222.89 8589722 1451447114 24086882 1920848919 192710539693.0 481310894948.0 12554500
linux_tuned 2 1 0x1d00 135 45.9 47.3 55.5 69.4 75.4 92.2 399848.4 400000 20.01 2219.46 8577320 1450529907 24091323 1916625912 192412362928.0 479260913542.0 12609649
linux_tuned 0 1 0x1d00 135 45.4 47.0 56.3 71.5 77.9 95.1 600034.4 600000 20.01 2745.15 12633612 2161619480 36100883 2880450252 270112580775.0 598739095097.0 15658164
linux_tuned 1 1 0x1d00 135 45.6 47.2 56.7 71.6 78.0 95.7 600083.7 600000 20.01 2744.76 12627172 2160465393 36083058 2879575952 270046775910.0 597989633104.0 15591772
linux_tuned 2 1 0x1d00 135 45.5 47.0 56.4 71.5 77.9 95.2 600296.1 600000 20.01 2744.66 12639649 2161619058 36118309 2878181972 269781709939.0 597378335202.0 15637812
linux_tuned 0 1 0x1d00 135 46.5 49.2 60.1 82.7 94.1 128.0 800309.9 800000 20.01 2756.89 15522734 2654001465 44223744 3531662864 311358145129.0 659984618207.0 15997113
linux_tuned 1 1 0x1d00 135 46.7 49.6 60.1 82.3 94.2 130.4 799722.3 800000 20.01 2760.48 15481484 2645808540 44108500 3510829616 310440272767.0 657782617090.0 15996957
linux_tuned 2 1 0x1d00 135 46.7 49.5 60.1 82.1 93.5 127.9 799979.4 800000 20.01 2775.62 15542256 2658877284 44270651 3547807412 311198044166.0 660032876121.0 15996900
linux_tuned 0 1 0x1d00 135 47.4 50.4 63.5 95.8 115.2 183.9 899843.1 900000 20.01 2780.59 17069528 2915914159 48441285 3879355244 330348001376.0 686572264053.0 15996988
linux_tuned 1 1 0x1d00 135 48.5 51.2 64.4 96.9 115.5 183.5 899913.8 900000 20.01 2774.92 17080787 2915568984 48467878 3879903574 330354921037.0 685749381658.0 15996803
linux_tuned 2 1 0x1d00 135 47.3 50.3 63.2 95.3 114.0 176.9 899286.1 900000 20.01 2778.57 17086285 2917418323 48489214 3875741584 330790729207.0 686487839688.0 15996999
linux_tuned 0 1 0x1d00 135 50.5 53.4 71.2 129.6 164.9 290.1 999834.4 1000000 20.01 2936.51 19496462 3326072627 54960804 4419706645 362523480881.0 734365719186.0 15996890
linux_tuned 1 1 0x1d00 135 49.6 52.3 69.9 127.3 161.7 281.7 999609.8 1000000 20.01 2888.71 19450916 3317125466 54823225 4413001739 361776894435.0 733602315385.0 15996893
linux_tuned 2 1 0x1d00 135 49.7 52.4 70.2 129.2 163.8 290.7 999420.4 1000000 20.01 2905.89 19687784 3357593172 55483210 4462661717 365905532347.0 739552179874.0 15997452
linux_tuned 0 1 0x1d00 135 51.4 55.4 85.1 180.3 230.1 462.1 1099926.5 1100000 20.01 3167.87 23335274 3970595747 64957299 5258699724 413720613119.0 802463367893.0 14734361
linux_tuned 1 1 0x1d00 135 51.4 55.2 84.6 177.2 223.8 447.1 1099373.6 1100000 20.01 3167.32 23338846 3969646581 64968114 5266762538 414050213418.0 801924555897.0 14804117
linux_tuned 2 1 0x1d00 135 51.7 55.7 86.2 179.9 226.6 440.6 1100158.4 1100000 20.01 3164.08 23349664 3970698405 64995848 5263184270 413491138365.0 799762806026.0 14564043
linux_tuned 0 1 0x1d00 135 53.4 59.0 114.8 210.2 271.8 541.2 1200164.2 1200000 20.01 3147.1 25682028 4347511488 70331758 5735577947 433151290946.0 786569381509.0 9748870
linux_tuned 1 1 0x1d00 135 53.2 58.8 114.5 212.0 279.3 559.2 1199909.1 1200000 20.01 3153.11 25666287 4344859028 70317761 5734935283 433055002868.0 788371431649.0 10138069
linux_tuned 2 1 0x1d00 135 52.9 58.4 113.1 207.7 269.9 533.6 1199600.3 1200000 20.0 3151.13 25663502 4344511710 70315641 5738233235 433385797557.0 787944985257.0 9926657
linux_tuned 0 1 0x1d00 135 47.9 50.0 55.9 68.5 73.3 85.1 200073.8 200000 20.0 1623.19 5381939 797816792 12078178 959749131 112359410050.0 332959748212.0 8210261
linux_tuned 1 1 0x1d00 135 47.7 49.9 55.8 68.3 73.3 85.2 199971.1 200000 20.01 1625.99 5369919 797047461 12072895 961879459 112268084361.0 334209689624.0 8240923
linux_tuned 2 1 0x1d00 135 48.9 50.3 56.3 69.1 73.8 85.9 200030.6 200000 20.0 1625.18 5369134 796587136 12076477 959490969 112150145109.0 333121374260.0 8231854
linux_tuned 0 1 0x1d00 135 45.9 47.2 55.4 69.2 74.8 90.5 400058.8 400000 20.01 2221.93 8584698 1451339261 24103631 1915839557 193409246811.0 482984945062.0 12576946
linux_tuned 1 1 0x1d00 135 45.9 47.3 55.7 69.4 75.1 90.5 400153.4 400000 20.01 2224.79 8592701 1452487998 24109215 1916492173 193503452223.0 482676019459.0 12524337
linux_tuned 2 1 0x1d00 135 45.9 47.2 55.5 69.3 75.4 93.4 399795.2 400000 20.01 2223.87 8574799 1450565756 24083452 1918432507 192642317857.0 481243121455.0 12570536
linux_tuned 0 1 0x1d00 135 45.6 47.3 56.8 71.9 78.5 96.2 600112.3 600000 20.01 2750.17 12637956 2162031117 36110448 2883834327 270101064310.0 599908184567.0 15678372
linux_tuned 1 1 0x1d00 135 45.8 47.6 57.0 72.1 78.7 96.4 599742.1 600000 20.01 2748.56 12620606 2159046737 36071998 2873164881 269836639335.0 598868743570.0 15582768
linux_tuned 2 1 0x1d00 135 45.8 47.5 56.9 72.1 78.5 95.4 600156.0 600000 20.01 2751.78 12634239 2161761737 36110832 2877927731 269965170228.0 598558967542.0 15662389
