sys i itr dvfs rapl read_5th read_10th read_50th read_90th read_95th read_99th measure_QPS target_QPS time joules rx_desc rx_bytes tx_desc tx_bytes instructions ref_cycles num_interrupts
linux_tuned 0 1 0x1d00 135 60.8 62.1 74.0 100.6 112.6 142.3 199868.6 200000 20.01 1074.54 5094148 779000093 12052968 961384197 103116041214.0 510990616349.0 8147382
linux_tuned 1 1 0x1d00 135 60.6 61.8 74.0 101.3 112.9 143.2 200106.8 200000 20.01 1074.56 5082836 777480370 12067067 956663493 102675966465.0 510130666386.0 8115028
linux_tuned 2 1 0x1d00 135 60.7 61.9 73.9 101.1 112.8 141.2 200014.6 200000 20.01 1075.15 5087588 778365693 12062449 960863914 102529911827.0 509885440182.0 8127542
linux_tuned 0 1 0x1d00 135 64.7 69.6 106.5 221.1 291.9 614.0 400116.5 400000 20.01 1204.98 8434487 1441794553 23885890 1917520462 167482375578.0 792940426773.0 13131996
linux_tuned 1 1 0x1d00 135 65.7 70.3 105.6 215.0 284.8 593.1 399722.0 400000 20.01 1204.95 8428487 1440034924 23873258 1920184432 166937987702.0 791577078251.0 13149904
linux_tuned 2 1 0x1d00 135 64.7 69.6 105.8 216.3 289.3 611.8 399885.6 400000 20.01 1204.56 8427904 1442953502 23877125 1923603822 167177347470.0 793463110622.0 13130724
linux_tuned 0 1 0x1d00 135 151.3 222.5 725.5 2099.8 2968.4 5237.1 599786.1 600000 20.01 1233.23 12257985 2117506430 30642014 2786133030 197679696054.0 875914459346.0 15981262
linux_tuned 1 1 0x1d00 135 154.0 227.1 747.1 2126.0 3032.7 5211.9 599615.5 600000 20.01 1242.33 12279572 2119400895 30618617 2777207270 197845863269.0 878626637366.0 15997469
linux_tuned 2 1 0x1d00 135 154.7 229.1 735.2 2135.2 3065.0 5596.7 600065.8 600000 20.01 1234.25 12273067 2118671159 30612949 2785531392 197544535634.0 877132208757.0 15983627
linux_tuned 0 1 0x1d00 135 60.6 61.8 74.0 101.0 113.0 143.5 199746.3 200000 20.01 1075.08 5088755 777820878 12046566 960514072 102317309877.0 510050141129.0 8124889
linux_tuned 1 1 0x1d00 135 61.2 62.6 75.2 102.9 114.5 144.1 200057.5 200000 20.01 1076.45 5092896 778406712 12065125 961661726 102939532068.0 513016705438.0 8145827
linux_tuned 2 1 0x1d00 135 61.0 62.2 74.6 102.4 114.2 144.7 200021.4 200000 20.01 1076.04 5083807 777443403 12062459 960975045 102841432009.0 512526206601.0 8131293
linux_tuned 0 1 0x1d00 135 64.6 69.6 106.3 222.5 296.1 617.8 400121.4 400000 20.01 1205.07 8433334 1442088722 23884835 1923425204 167021684859.0 792446382077.0 13123072
