sys i itr dvfs rapl read_5th read_10th read_50th read_90th read_95th read_99th measure_QPS target_QPS time joules rx_desc rx_bytes tx_desc tx_bytes instructions ref_cycles num_interrupts
linux_tuned 0 1 0x1d00 135 47.8 50.0 55.7 68.5 73.2 86.1 199987.6 200000 20.0 1606.57 5383315 797785327 12073277 959700790 111752541943.0 329449417547.0 305486
linux_tuned 1 1 0x1d00 135 48.1 50.1 56.0 68.6 73.3 85.2 200062.5 200000 20.0 1611.24 5371582 796983309 12077372 959414804 111811886197.0 329483995320.0 301635
linux_tuned 2 1 0x1d00 135 47.4 49.8 55.6 68.2 72.9 85.6 199932.4 200000 20.0 1611.29 5378889 797380118 12070271 959063169 111479383888.0 327723453779.0 302777
linux_tuned 0 1 0x1d00 135 46.4 47.9 54.9 67.5 72.6 85.0 249963.9 250000 20.01 1752.03 6032627 951355585 15080572 1203091749 132210186719.0 370154349987.0 309058
linux_tuned 1 1 0x1d00 135 46.5 48.0 55.0 67.9 73.1 85.2 250084.4 250000 20.01 1751.23 6040589 952527458 15089237 1204774252 132080113984.0 369713098138.0 309232
linux_tuned 2 1 0x1d00 135 47.4 49.7 55.9 68.9 73.7 85.9 250083.1 250000 20.0 1754.08 6021513 950658229 15088478 1201996100 132421033521.0 371165825037.0 304797
linux_tuned 0 1 0x1d00 135 47.1 49.2 56.1 69.3 74.6 86.7 299938.2 300000 20.01 1894.79 6781958 1112032428 18086654 1444716583 152288602063.0 407412772062.0 307098
linux_tuned 1 1 0x1d00 135 46.4 47.9 55.4 68.5 73.6 86.9 300215.1 300000 20.01 1894.9 6799049 1113883940 18100650 1444354751 152443480499.0 408246176527.0 310391
linux_tuned 2 1 0x1d00 135 47.3 49.6 56.0 69.4 74.4 86.3 299998.7 300000 20.01 1891.55 6788414 1112127732 18088257 1438191418 152158601944.0 406862401594.0 308548
linux_tuned 0 1 0x1d00 135 45.9 47.2 55.3 68.6 74.3 87.7 349950.9 350000 20.0 2039.76 7641920 1279745128 21094096 1685165006 172135154595.0 441992089515.0 311225
linux_tuned 1 1 0x1d00 135 46.1 47.4 55.3 68.5 74.0 87.7 350117.1 350000 20.01 2048.24 7648939 1279148961 21102202 1679574152 172311472034.0 443578694421.0 312529
linux_tuned 2 1 0x1d00 135 46.2 47.6 55.6 68.8 74.2 87.5 349982.8 350000 20.01 2045.76 7659455 1279839254 21095537 1684652369 172558082864.0 442430853599.0 308956
linux_tuned 0 1 0x1d00 135 45.8 47.0 55.2 69.1 75.4 93.7 400026.0 400000 20.01 2196.7 8582739 1450752621 24099898 1919440797 192043596571.0 475808443068.0 312609
linux_tuned 1 1 0x1d00 135 46.0 47.4 55.5 69.3 75.0 91.4 399953.7 400000 20.01 2198.67 8591158 1451822614 24097534 1918936755 192531986411.0 476860581454.0 313489
linux_tuned 2 1 0x1d00 135 45.7 46.9 55.2 68.8 74.6 91.3 399972.8 400000 20.01 2199.11 8587985 1451213071 24096469 1916188477 192257665041.0 476007945088.0 313242
linux_tuned 0 1 0x1d00 135 45.8 47.2 55.9 69.9 76.0 92.6 449805.2 450000 20.01 2340.05 9561397 1626424518 27091654 2159224776 211753905835.0 505121321893.0 313350
linux_tuned 1 1 0x1d00 135 46.3 47.9 56.4 70.3 76.3 90.3 449789.7 450000 20.01 2343.73 9566611 1626210632 27091576 2161248341 212263659884.0 506919910970.0 311986
linux_tuned 2 1 0x1d00 135 45.6 46.8 55.2 69.0 75.0 90.8 450085.8 450000 20.01 2344.69 9560775 1626738483 27111647 2157137247 212080930899.0 506488007706.0 314189
linux_tuned 0 1 0x1d00 135 45.6 47.0 55.9 69.9 76.1 92.7 499870.6 500000 20.01 2483.18 10570317 1804456891 30096069 2394460282 231372069525.0 534334125691.0 313526
linux_tuned 1 1 0x1d00 135 45.7 47.2 56.1 70.6 76.8 93.0 499507.5 500000 20.01 2481.11 10559587 1801555797 30075361 2398063140 231181961314.0 534084361103.0 314503
linux_tuned 2 1 0x1d00 135 45.5 46.8 55.6 69.8 75.9 92.6 500161.2 500000 20.01 2485.34 10583241 1805833519 30116108 2404498446 231510834249.0 534685600500.0 314541
linux_tuned 0 1 0x1d00 135 45.7 47.2 56.3 70.7 76.9 93.0 550117.7 550000 20.01 2615.39 11603127 1983234006 33111881 2642721173 250640206195.0 561831506815.0 315040
linux_tuned 1 1 0x1d00 135 46.4 48.3 57.2 71.9 78.1 94.8 549905.0 550000 20.01 2616.07 11600512 1981982822 33098683 2636604261 250439936721.0 562287889356.0 314144
linux_tuned 2 1 0x1d00 135 45.3 46.7 55.8 70.3 76.6 93.0 549893.6 550000 20.07 2613.41 11596790 1983454185 33099166 2643580222 250110133353.0 560559178331.0 315413
linux_tuned 0 1 0x1d00 135 46.1 47.9 57.2 72.4 78.7 95.8 600097.5 600000 20.01 2726.75 12636678 2162111243 36108157 2881528499 269068473000.0 590767959289.0 315275
linux_tuned 1 1 0x1d00 135 45.6 47.2 56.6 71.7 78.0 96.0 600103.0 600000 20.0 2728.34 12636770 2161744367 36104482 2882279306 269197908329.0 590448325436.0 315517
linux_tuned 2 1 0x1d00 135 45.4 46.9 56.3 71.2 77.6 95.0 600020.8 600000 20.01 2730.0 12634707 2162512952 36103923 2880362640 269001256397.0 590175137316.0 315845
linux_tuned 0 1 0x1d00 135 45.5 47.2 57.0 72.7 79.2 99.5 650325.8 650000 20.01 2818.05 13678898 2340845078 39110717 3112112560 286928967231.0 620585751836.0 315420
