sys i itr dvfs rapl read_5th read_10th read_50th read_90th read_95th read_99th measure_QPS target_QPS time joules rx_desc rx_bytes tx_desc tx_bytes instructions ref_cycles num_interrupts
linux_tuned 0 1 0x1d00 135 48.9 50.3 56.3 69.0 74.1 85.4 199994.9 200000 20.01 1623.68 5389476 799020736 12073634 958803450 111979560267.0 333531810767.0 304602
linux_tuned 1 1 0x1d00 135 48.0 50.0 55.9 68.6 73.3 85.0 200024.1 200000 20.01 1626.69 5359219 795418746 12074628 959441885 111654446156.0 330717140338.0 298873
linux_tuned 2 1 0x1d00 135 49.9 50.6 56.9 69.6 74.5 85.8 200189.9 200000 20.01 1627.24 5380020 797586326 12085590 960643023 112232659565.0 334160026515.0 303453
linux_tuned 0 1 0x1d00 135 47.7 50.0 56.1 68.7 73.5 85.9 250055.7 250000 20.0 1767.87 6037552 952318087 15086597 1202495876 132293725185.0 374060801686.0 307774
linux_tuned 1 1 0x1d00 135 47.0 49.1 55.7 68.1 73.0 85.3 249940.8 250000 20.0 1769.64 6017285 949843309 15079141 1197756319 132335722572.0 374132628103.0 305489
linux_tuned 2 1 0x1d00 135 48.5 50.3 56.7 69.6 74.6 86.4 250052.3 250000 20.0 1769.36 6018062 950077283 15085307 1198991993 132112114777.0 373800862854.0 308103
linux_tuned 0 1 0x1d00 135 46.7 48.5 55.6 68.6 73.8 86.6 299958.5 300000 20.01 1913.19 6784858 1111101439 18085313 1441394622 152209761083.0 411598713668.0 311120
linux_tuned 1 1 0x1d00 135 46.4 47.9 55.4 68.2 73.4 86.3 300006.7 300000 20.01 1913.15 6791378 1111225463 18088962 1438062882 152349043586.0 411106985782.0 308919
linux_tuned 2 1 0x1d00 135 46.8 48.7 56.0 69.3 74.6 86.6 299886.4 300000 20.01 1917.21 6783470 1110848176 18082754 1441010133 152685572464.0 412838835564.0 306606
linux_tuned 0 1 0x1d00 135 46.2 47.6 55.6 68.9 74.5 88.4 349804.0 350000 20.01 2065.25 7651684 1279043258 21082863 1681414568 172417809455.0 446816521134.0 311049
linux_tuned 1 1 0x1d00 135 47.8 50.0 57.2 71.6 78.0 103.2 349660.2 350000 20.01 2066.42 7637213 1277105084 21073711 1679677213 172316196478.0 446779332404.0 310466
